College Name,BegBasicEd_Participant_POP_MSG,BegBasicEd_IndividualsServed,BegBasicEd_Participants12+ Hours,BegBasicEd_Particip/Served,BegBasicEd_POPs,BegBasicEd_AHSGrad,BegBasicEd_HSE,BegBasicEd_Postsecondary,BegBasicEd_AHSCredits,BegBasicEd_Posttest,BegBasicEd_MSG
NC Total,34.80%,"6,241","5,338",85.50%,"5,439",0.10%,0.90%,2.20%,0.00%,31.50%,34.80%
Alamance CC,34.00%,98,95,96.90%,97,0.00%,1.00%,1.00%,0.00%,32.00%,34.00%
Asheville-Buncombe TCC,19.00%,72,62,86.10%,63,0.00%,0.00%,0.00%,0.00%,19.00%,19.00%
Beaufort County CC,39.50%,60,43,71.70%,43,0.00%,2.30%,0.00%,0.00%,37.20%,39.50%
Bladen CC,50.00%,27,23,85.20%,24,0.00%,12.50%,0.00%,0.00%,37.50%,50.00%
Blue Ridge CC,57.10%,74,56,75.70%,56,0.00%,0.00%,0.00%,0.00%,57.10%,57.10%
Blue Ridge Literacy Council,16.70%,9,6,66.70%,6,0.00%,0.00%,0.00%,0.00%,16.70%,16.70%
Brunswick CC,72.00%,28,25,89.30%,25,0.00%,4.00%,0.00%,0.00%,68.00%,72.00%
Brunswick County Literacy,14.30%,7,7,100.00%,7,0.00%,0.00%,0.00%,0.00%,14.30%,14.30%
Burke County Literacy Council,*,3,2,66.70%,2,*,*,*,*,*,*
Caldwell CC and TI,31.70%,65,59,90.80%,60,0.00%,0.00%,1.70%,0.00%,30.00%,31.70%
Cape Fear CC,28.50%,273,233,85.30%,239,0.80%,0.40%,0.00%,0.00%,27.20%,28.50%
Cape Fear Literacy,47.10%,35,17,48.60%,17,0.00%,0.00%,0.00%,0.00%,47.10%,47.10%
Carteret CC,34.80%,24,22,91.70%,23,0.00%,4.30%,0.00%,0.00%,30.40%,34.80%
Catawba Valley CC,22.60%,77,62,80.50%,62,0.00%,1.60%,0.00%,0.00%,21.00%,22.60%
Central Carolina CC,48.00%,105,95,90.50%,98,0.00%,0.00%,2.00%,0.00%,45.90%,48.00%
Central Piedmont CC,34.40%,476,386,81.10%,392,0.00%,0.30%,9.40%,0.00%,24.70%,34.40%
Cleveland CC,61.80%,33,33,100.00%,34,0.00%,0.00%,0.00%,0.00%,61.80%,61.80%
Coastal Carolina CC,35.40%,52,46,88.50%,48,0.00%,0.00%,4.20%,0.00%,31.30%,35.40%
College of the Albemarle,42.10%,42,36,85.70%,38,0.00%,0.00%,0.00%,0.00%,42.10%,42.10%
Craven CC,48.20%,60,55,91.70%,56,0.00%,0.00%,0.00%,0.00%,48.20%,48.20%
Craven Literacy Council,*,2,1,50.00%,1,*,*,*,*,*,*
Davidson County CC,45.00%,159,155,97.50%,160,0.00%,0.60%,3.10%,0.00%,41.30%,45.00%
Durham County Literacy Council,30.80%,13,13,100.00%,13,0.00%,0.00%,0.00%,0.00%,30.80%,30.80%
Durham TCC,25.40%,333,265,79.60%,272,0.00%,0.00%,0.40%,0.00%,25.00%,25.40%
Edgecombe CC,24.50%,46,45,97.80%,49,0.00%,0.00%,0.00%,0.00%,24.50%,24.50%
Fayetteville TCC,14.90%,208,201,96.60%,202,0.00%,0.00%,1.50%,0.00%,13.40%,14.90%
Forsyth TCC,33.30%,251,192,76.50%,198,0.00%,1.00%,3.00%,0.00%,29.30%,33.30%
Gaston College,34.40%,66,59,89.40%,61,0.00%,0.00%,0.00%,0.00%,34.40%,34.40%
"Gaston Literacy Council, Inc.",*,0,0,,0,*,*,*,*,*,*
Guilford TCC,25.40%,303,273,90.10%,276,0.00%,0.00%,1.40%,0.00%,23.90%,25.40%
Halifax CC,12.90%,33,31,93.90%,31,0.00%,0.00%,0.00%,0.00%,12.90%,12.90%
Haywood CC,33.30%,18,15,83.30%,15,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
Isothermal CC,28.60%,14,14,100.00%,14,7.10%,0.00%,0.00%,0.00%,21.40%,28.60%
James Sprunt CC,30.30%,42,33,78.60%,33,0.00%,0.00%,3.00%,0.00%,27.30%,30.30%
Johnston CC,54.40%,103,78,75.70%,79,0.00%,2.50%,0.00%,0.00%,51.90%,54.40%
Lenoir CC,47.40%,129,115,89.10%,116,0.00%,0.00%,1.70%,0.00%,45.70%,47.40%
Literacy Council of Buncombe County,42.90%,8,7,87.50%,7,0.00%,0.00%,0.00%,0.00%,42.90%,42.90%
Literacy Council of Union Co.,14.30%,7,7,100.00%,7,0.00%,0.00%,0.00%,0.00%,14.30%,14.30%
Literacy Volunteers of America-Pitt County,18.20%,10,10,100.00%,11,0.00%,0.00%,0.00%,0.00%,18.20%,18.20%
Martin CC,27.10%,54,47,87.00%,48,0.00%,2.10%,0.00%,0.00%,25.00%,27.10%
Mayland CC,44.30%,99,78,78.80%,79,0.00%,1.30%,0.00%,0.00%,43.00%,44.30%
McDowell TCC,44.60%,71,56,78.90%,56,1.80%,3.60%,1.80%,0.00%,37.50%,44.60%
Mitchell CC,32.80%,84,64,76.20%,64,0.00%,0.00%,1.60%,0.00%,31.30%,32.80%
