College Name,BASIC_SKILLS,COMM_SVC,FIT,HRD,LEARN_LAB,NON_OCC_SS,OCC_RB,OCC_SS,Annual_ConEd_USnBdCupCount,"Annual Undup
(Curr and ConEd)"
Alamance CC,"1,899",,,,,729,"4,150","2,355","8,801","14,275"
Asheville-Buncombe TCC,"2,000",,,183,,"2,766","6,405","2,420","13,340","22,679"
Beaufort County CC,622,,,56,,794,"2,806",310,"4,455","6,344"
Bladen CC,362,,,175,,660,"1,581",115,"2,815","4,258"
Blue Ridge CC,"1,013",,,,,"2,147","5,194",879,"8,719","11,198"
Brunswick CC,481,,,,,974,"2,938",215,"4,289","6,057"
Caldwell CC and TI,899,,,19,,"1,442","5,486","1,111","8,458","12,680"
Cape Fear CC,"1,846",,,,,"2,665","7,127",890,"12,240","22,986"
Carteret CC,457,,,63,,475,"2,417",699,"3,965","5,771"
Catawba Valley CC,"1,353",,,25,,"1,584","4,191","1,743","8,537","14,291"
Central Carolina CC,"2,191",,,,,"1,176","6,374",713,"10,348","16,786"
Central Piedmont CC,"7,652","1,177",,,,"1,440","8,790","10,549","28,785","55,623"
Cleveland CC,185,,,,,767,"4,324","1,040","6,246","10,096"
Coastal Carolina CC,"1,296",,,,,"1,971","4,927",137,"8,183","13,405"
College of the Albemarle,625,,11,221,,733,"3,882",638,"5,969","8,861"
Craven CC,480,,,,,319,"4,861","1,754","7,279","11,092"
Davidson County CC,"1,493",,,,,523,"4,458","2,145","8,446","12,693"
Durham TCC,"2,981",,,625,,438,"4,882","2,534","11,170","18,130"
Edgecombe CC,717,,,115,,411,"2,213",328,"3,694","6,541"
Fayetteville TCC,"3,823",,,,,"1,827","8,318","4,364","17,469","33,057"
Forsyth TCC,"2,883",,,,,905,"10,099","5,244","18,582","28,111"
Gaston College,"1,322",,,,,"1,107","6,111","2,349","10,717","17,713"
Guilford TCC,"4,854",,,326,,"2,492","11,040","2,199","20,294","34,078"
Halifax CC,353,,,7,,20,"3,202",445,"3,865","5,336"
Haywood CC,570,,,,,602,"2,537",241,"3,768","5,982"
Isothermal CC,535,,,57,,"1,427","2,034",210,"4,143","6,576"
James Sprunt CC,407,,,,,799,"1,918",211,"3,221","4,622"
Johnston CC,"1,159",,,,,"1,783","4,388","1,047","8,213","12,857"
Lenoir CC,"1,490",,,,,646,"7,500",234,"9,625","13,224"
Martin CC,358,,,,,140,"1,582",288,"2,305","3,351"
Mayland CC,805,,,,,419,"2,174",68,"3,358","4,870"
McDowell TCC,463,,113,,,392,"3,336",188,"4,439","5,808"
Mitchell CC,"1,045",,,891,,463,"2,186","1,966","6,279","10,250"
Montgomery CC,295,,,,,,"1,434",712,"2,360","3,309"
Nash CC,607,,8,,,886,"4,318",606,"6,107","10,088"
Pamlico CC,114,,,,,115,601,25,833,"1,369"
Piedmont CC,472,,,167,,208,"2,482",210,"3,409","4,967"
Pitt CC,"1,307",,,,,"1,179","5,746","1,205","9,248","19,885"
Randolph CC,"1,189",,,,,361,"5,790","1,176","8,231","11,528"
Richmond CC,"1,240",,,,,305,"4,786",589,"6,763","9,662"
Roanoke Chowan CC,272,,,196,,,"1,653",515,"2,528","3,577"
Robeson CC,"1,048",,,96,,65,"5,326",460,"6,841","9,150"
Rockingham CC,528,,,232,,535,"2,310",697,"4,115","6,133"
Rowan-Cabarrus CC,"1,409",,"1,737",584,289,274,"8,478","1,494","12,967","20,070"
Sampson CC,793,,,,,438,"3,109",281,"4,089","5,873"
Sandhills CC,659,,,,,"1,110","4,486",547,"6,486","11,218"
Southeastern CC,"1,077",,,,,425,"5,893",134,"7,171","8,731"
South Piedmont CC,"1,440",,,113,,156,"3,486","1,225","6,176","9,798"
Southwestern CC,931,,,,,157,"3,176",868,"4,617","7,693"
Stanly CC,"1,062",,,515,,,"3,339","1,162","5,308","8,596"
Surry CC,828,,,,,747,"5,215","1,562","8,008","10,729"
Tri-County CC,186,,,155,,466,"1,689",154,"2,494","3,764"
Vance-Granville CC,"1,372",,,,,"1,038","4,468",965,"7,582","11,308"
Wake TCC,"5,987",,,,,"1,740","25,726","7,945","39,988","65,929"
Wayne CC,"1,745",,,6,,979,"4,199",466,"6,920","10,855"
Western Piedmont CC,"1,026",,,,,776,"3,802",863,"6,324","8,586"
Wilkes CC,770,,,206,,43,"4,288","2,239","7,270","10,264"
Wilson CC,870,,,66,,192,"3,176",458,"4,666","7,077"
