College Name,CosmeticApprentice_NumTest2017,CosmeticApprentice_PCTPassing2017,CosmeticApprentice_PCTPassing2016,CosmeticApprentice_PCTPassing2015,CosmeticApprentice_PCTPassing2014,Cosmetology_NumTest2017,Cosmetology_PCTPassing2017,Cosmetology_PCTPassing2016,Cosmetology_PCTPassing2015,Cosmetology_PCTPassing2014,Esthetician_NumTest2017,Esthetician_PCTPassing2017,Esthetician_PCTPassing2016,Esthetician_PCTPassing2015,Esthetician_PCTPassing2014,CosmeticInstructor_NumTest2017,CosmeticInstructor_PCTPassing2017,CosmeticInstructor_PCTPassing2016,CosmeticInstructor_PCTPassing2015,CosmeticInstructor_PCTPassing2014,Manicurist_NumTest2017,Manicurist_PCTPassing2017,Manicurist_PCTPassing2016,Manicurist_PCTPassing2015,Manicurist_PCTPassing2014
System Totals,99,92%,97%,92%,94%,638,85%,91%,90%,93%,211,89%,89%,94%,93%,27,89%,83%,78%,78%,149,79%,82%,79%,79%
Alamance CC,7,86% 100%,,*,100%,18,89%,88%,79%,90%,,*,*,*,*,,*,*,*,*,,*,*,*,*
Asheville-Buncombe TCC,,*,*,*,*,11,100%,100% 100%,,95%,16,100%,100%,94% 100%,,2,*,*,*,*,6,100%,100%,*,*
Beaufort County CC,1,*,*,*,*,8,63%,89% 100%,,91%,,*,*,*,*,,*,*,*,80%,4,*,*,60% 100%,
Bladen CC,2,*,*,*,*,8,75% 100%,,86% 100%,,,*,*,*,*,,*,*,*,*,,*,*,*,*
Blue Ridge CC,6,,,,92%,12,92% 100%,,93% 100%,,6,100%,60% 100%,,*,1,*,*,*,*,,*,*,*,*
Brunswick CC,1,*,100%,71%,*,2,*,78%,78%,90%,6,100%,93% 100% 100%,,,,*,*,*,*,4,*,100%,89%,*
Caldwell CC & TI,9,100%,100% 100% 100%,,,18,94%,92% 100% 100%,,,,*,*,*,*,,*,*,*,*,,*,*,*,100%
Cape Fear CC,17,100%,100%,96% 100%,,21,90%,89%,91%,88%,21,81%,71% 100%,,88%,2,*,*,*,*,,*,80%,56%,83%
Carteret CC,,*,*,*,*,13,100%,100% 100%,,92%,8,100%,*,*,60%,2,*,*,*,*,,*,*,*,*
Catawba Valley CC,,*,*,*,*,8,75% 100% 100% 100%,,,,,*,*,*,*,1,*,*,*,*,,*,*,*,*
Central Carolina CC,13,92% 100%,,88%,88%,32,91%,94%,88%,89%,23,91% 100%,,87%,94%,5,100%,*,80% 100%,,,*,*,*,*
Central Piedmont CC,,*,*,*,*,23,91%,89%,95%,*,,*,*,*,*,,*,*,*,*,1,*,*,*,*
Cleveland CC,,*,100%,*,*,16,88%,94%,83%,92%,12,83%,67% 100%,,*,,*,*,*,*,5,100%,*,89%,80%
Coastal Carolina CC,,*,*,*,*,22,91%,84%,97%,92%,,*,*,*,*,,*,*,*,*,,*,*,*,*
College of The Albemarle,,*,*,*,93%,8,88%,93%,*,100%,,*,*,*,*,,*,*,*,*,,*,*,*,*
