College Name,Completers within 150% of normal time (GR2016_L2_RV),Grand total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Total men (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Total women (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),American Indian or Alaska Native total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Asian total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Black or African American total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Hispanic total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Native Hawaiian or Other Pacific Islander total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),White total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Two or more races total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Race/ethnicity unknown total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Nonresident alien total (GR2016_RV  Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total),Grand total (EF2016A_RV  All students total),Grand total men (EF2016A_RV  All students total),Grand total women (EF2016A_RV  All students total),American Indian or Alaska Native total (EF2016A_RV  All students total),Asian total (EF2016A_RV  All students total),Black or African American total (EF2016A_RV  All students total),Hispanic total (EF2016A_RV  All students total),Native Hawaiian or Other Pacific Islander total (EF2016A_RV  All students total),White total (EF2016A_RV  All students total),Two or more races total (EF2016A_RV  All students total),Race/ethnicity unknown total (EF2016A_RV  All students total),Nonresident alien total (EF2016A_RV  All students total),Full-time retention rate  2016 (EF2016D_RV),Part-time retention rate  2016 (EF2016D_RV)
Alamance Community College,,114,43,71,1,5,9,15,1,77,4,2,0,4336,1541,2795,28,103,781,555,2,2541,29,183,114,63,43
Asheville-Buncombe Technical Community College,,143,59,84,2,0,10,5,0,119,2,5,0,7226,3131,4095,43,86,436,533,16,5700,182,214,16,61,46
Beaufort County Community College,,28,15,13,1,0,3,3,0,21,0,0,0,1522,503,1019,4,8,352,121,1,926,36,60,14,63,37
Bladen Community College,,15,8,7,2,0,3,2,0,8,0,0,0,1248,378,870,161,7,376,81,1,579,9,34,0,80,33
Blue Ridge Community College,,51,24,27,0,0,0,1,0,48,0,2,0,2197,1018,1179,13,31,93,209,0,1714,0,110,27,58,47
Brunswick Community College,,33,22,11,1,0,8,2,0,19,2,1,0,1400,531,869,16,11,198,94,0,1009,54,16,2,56,38
Caldwell Community College and Technical Institute,,78,41,37,0,0,2,4,0,72,0,0,0,3369,1485,1884,67,66,190,219,3,2764,36,12,12,49,42
Cape Fear Community College,,241,137,104,3,4,14,13,1,189,13,4,0,8692,3929,4763,65,100,1028,671,15,6408,281,113,11,73,55
Carolinas College of Health Sciences,,3,2,1,0,0,0,0,0,3,0,0,0,444,41,403,1,14,42,24,2,326,13,22,0,75,55
Carteret Community College,,21,8,13,0,2,1,1,0,17,0,0,0,1500,477,1023,12,11,125,99,4,1189,46,14,0,63,51
Catawba Valley Community College,,122,57,65,1,8,8,10,0,92,3,0,0,4703,2061,2642,32,355,360,495,5,3293,92,69,2,66,73
Central Carolina Community College,,145,80,65,0,0,41,21,0,78,2,1,2,5136,1858,3278,40,56,1020,880,12,2902,131,92,3,65,40
Central Piedmont Community College,,267,125,142,1,13,43,24,0,151,6,12,17,19487,8860,10627,87,782,5557,2401,29,8332,619,548,1132,54,45
Cleveland Community College,,69,30,39,0,0,11,5,0,50,2,1,0,2832,1107,1725,9,28,541,125,3,2033,50,43,0,54,33
