College Name,"STUDENTS
(Denominator)","COMPLETING
LEVEL",16-17,15-16,"% COMPLETING
14-15",13-14,13-Dec
System Totals,"34,226","20,002",58.40%,58%,56%,58%,58%
Alamance CC,969,483,49.80%,49%,46%,44%,35%
Asheville-Buncombe TCC,799,446,55.80%,56%,54%,61%,54%
Beaufort County CC,215,121,56.30%,45%,51%,52%,50%
Bladen CC,150,94,62.70%,69%,62%,63%,57%
Blue Ridge CC,398,249,62.60%,49%,54%,61%,57%
Brunswick CC,261,180,69.00%,70%,69%,66%,65%
Caldwell CC & TI,374,194,51.90%,40%,42%,53%,56%
Cape Fear CC,835,433,51.90%,52%,56%,56%,56%
Carteret CC,167,90,53.90%,68%,69%,56%,61%
Catawba Valley CC,401,264,65.80%,61%,50%,57%,59%
Central Carolina CC,"1,056",770,72.90%,77%,68%,60%,63%
Central Piedmont CC,"3,303","1,794",54.30%,56%,55%,60%,61%
Cleveland CC,125,96,76.80%,79%,81%,81%,87%
Coastal Carolina CC,616,381,61.90%,74%,82%,82%,79%
College of The Albemarle,252,154,61.10%,56%,53%,53%,59%
Craven CC,286,170,59.40%,55%,53%,59%,50%
Davidson County CC,892,618,69.30%,63%,63%,60%,65%
Durham TCC,"1,451",742,51.10%,55%,53%,50%,49%
Edgecombe CC,362,261,72.10%,63%,64%,74%,67%
Fayetteville TCC,"2,212","1,217",55.00%,60%,54%,56%,54%
Forsyth TCC,896,466,52.00%,54%,54%,65%,65%
Gaston College,689,397,57.60%,59%,57%,60%,59%
Guilford TCC,"1,796",746,41.50%,40%,38%,45%,47%
Halifax CC,175,97,55.40%,51%,49%,57%,52%
Haywood CC,83,73,88.00%,74%,66%,63%,69%
Isothermal CC,170,92,54.10%,43%,40%,55%,55%
James Sprunt CC,132,80,60.60%,78%,73%,80%,82%
Johnston CC,469,367,78.30%,76%,69%,60%,61%
Lenoir CC,728,463,63.60%,70%,64%,64%,66%
Martin CC,172,95,55.20%,58%,49%,52%,44%
Mayland CC,431,282,65.40%,63%,45%,45%,48%
McDowell TCC,224,143,63.80%,70%,63%,52%,50%
Mitchell CC,351,190,54.10%,50%,39%,44%,51%
Montgomery CC,138,71,51.40%,59%,57%,60%,51%
Nash CC,282,153,54.30%,44%,45%,51%,48%
Pamlico CC,65,54,83.10%,87%,67%,73%,55%
Piedmont CC,198,109,55.10%,51%,49%,47%,49%
Pitt CC,587,357,60.80%,53%,57%,48%,50%
Randolph CC,592,354,59.80%,58%,47%,47%,59%
Richmond CC,632,306,48.40%,47%,57%,57%,53%
Roanoke-Chowan CC,100,38,38.00%,41%,41%,31%,51%
Robeson CC,612,322,52.60%,58%,60%,57%,62%
Rockingham CC,284,190,66.90%,76%,67%,50%,61%
Rowan-Cabarrus CC,884,477,54.00%,55%,48%,57%,69%
Sampson CC,516,292,56.60%,49%,54%,49%,57%
Sandhills CC,334,183,54.80%,48%,38%,36%,38%
South Piedmont CC,762,434,57.00%,50%,53%,59%,62%
Southeastern CC,489,328,67.10%,54%,59%,65%,67%
Southwestern CC,370,205,55.40%,65%,64%,63%,65%
Stanly CC,223,110,49.30%,64%,58%,67%,65%
Surry CC,318,157,49.40%,43%,43%,48%,50%
Tri-County CC,99,67,67.70%,52%,46%,43%,38%
Vance-Granville CC,491,288,58.70%,57%,57%,57%,76%
Wake TCC,"3,069","2,040",66.50%,65%,62%,62%,54%
Wayne CC,875,652,74.50%,80%,69%,77%,79%
Western Piedmont CC,228,189,82.90%,73%,58%,28%,32%
Wilkes CC,360,234,65.00%,49%,49%,48%,55%
Wilson CC,278,144,51.80%,67%,65%,77%,92%
