College Name,Transfer/General Eduction,Career/Technical Education,Special Credit,Annual Curr Undup Count,Annual Undup Student Count (Curr and ConEd)
Alamance CC,"2,910","2,883",333,"5,877","14,275"
Asheville-Buncombe TCC,"3,708","5,015","1,515","9,911","22,679"
Beaufort County CC,"1,228",707,125,"2,005","6,344"
Bladen CC,911,637,109,"1,614","4,258"
Blue Ridge CC,"1,158","1,564",226,"2,868","11,198"
Brunswick CC,"1,049",726,227,"1,923","6,057"
Caldwell CC and TI,"3,109","1,524",300,"4,822","12,680"
Cape Fear CC,"7,178","4,003",630,"11,426","22,986"
Carteret CC,828,"1,195",115,"2,061","5,771"
Catawba Valley CC,"2,888","2,780",626,"6,138","14,291"
Central Carolina CC,"2,082","4,563",454,"6,869","16,786"
Central Piedmont CC,"13,141","13,925","1,855","27,921","55,623"
Cleveland CC,"1,795","1,869",702,"4,203","10,096"
Coastal Carolina CC,"4,047","1,387",460,"5,713","13,405"
College of the Albemarle,"2,234",981,143,"3,224","8,861"
Craven CC,"2,505","1,390",348,"4,106","11,092"
Davidson County CC,"1,961","2,783",291,"4,867","12,693"
Durham TCC,"4,112","2,802",719,"7,395","18,130"
Edgecombe CC,"1,256","1,687",244,"3,090","6,541"
Fayetteville TCC,"7,974","7,528","1,889","16,791","33,057"
Forsyth TCC,"3,399","6,275",936,"10,395","28,111"
Gaston College,"3,883","3,474",311,"7,466","17,713"
Guilford TCC,"7,184","7,029",683,"14,488","34,078"
Halifax CC,751,870,43,"1,625","5,336"
Haywood CC,756,"1,334",387,"2,430","5,982"
Isothermal CC,966,"1,685",111,"2,670","6,576"
James Sprunt CC,686,879,66,"1,568","4,622"
Johnston CC,"2,787","2,200",432,"5,312","12,857"
Lenoir CC,"1,553","1,737",826,"4,029","13,224"
Martin CC,739,339,16,"1,076","3,351"
Mayland CC,562,"1,090",23,"1,595","4,870"
McDowell TCC,730,712,136,"1,528","5,808"
Mitchell CC,"2,429","1,410",490,"4,201","10,250"
Montgomery CC,328,760,44,"1,078","3,309"
Nash CC,"1,744","2,200",614,"4,414","10,088"
Pamlico CC,116,481,58,638,"1,369"
Piedmont CC,497,"1,186",51,"1,706","4,967"
Pitt CC,"4,740","5,561","1,429","11,212","19,885"
Randolph CC,"1,723","1,830",176,"3,625","11,528"
Richmond CC,"1,638","1,594",164,"3,275","9,662"
Roanoke Chowan CC,450,641,100,"1,171","3,577"
Robeson CC,"1,341","1,221",92,"2,600","9,150"
Rockingham CC,"1,083","1,149",119,"2,291","6,133"
Rowan-Cabarrus CC,"4,257","3,121",378,"7,590","20,070"
Sampson CC,956,978,130,"1,971","5,873"
Sandhills CC,"2,067","2,828",454,"5,155","11,218"
Southeastern CC,"1,107",725,132,"1,879","8,731"
South Piedmont CC,"2,145","1,529",326,"3,900","9,798"
Southwestern CC,"1,308","1,921",172,"3,318","7,693"
Stanly CC,"1,314","2,128",252,"3,582","8,596"
Surry CC,"1,592","1,279",188,"2,946","10,729"
Tri-County CC,738,740,94,"1,508","3,764"
Vance-Granville CC,"2,247","1,690",201,"4,060","11,308"
Wake TCC,"14,212","13,639","2,538","29,750","65,929"
Wayne CC,"2,133","1,993",250,"4,268","10,855"
Western Piedmont CC,"1,163","1,171",276,"2,537","8,586"
Wilkes CC,"1,612","1,629",240,"3,370","10,264"
Wilson CC,"1,140","1,227",243,"2,543","7,077"
Unduplicated Count,"142,779","141,134","23,843","295,639","697,114"
