National Center for Education Statistics,,,,
Student financial aid, selected years,,,
UnitId,Types of aid, , ,2015-16
197814,College of the Albemarle,First-time full-time undergraduates,Total,238
197814,College of the Albemarle,Any aid,Number receiving,160
197814,College of the Albemarle,Federal grants,Number receiving,126
197814,College of the Albemarle,-,Average amount,5050
197814,College of the Albemarle,State/Local grants,Number receiving,51
197814,College of the Albemarle,-,Average amount,1677
197814,College of the Albemarle,Institutional grants,Number receiving,24
197814,College of the Albemarle,-,Average amount,1246
197814,College of the Albemarle,Loans,Number receiving,1
197814,College of the Albemarle,-,Average amount,9500
197850,South Piedmont Community College,First-time full-time undergraduates,Total,162
197850,South Piedmont Community College,Any aid,Number receiving,114
197850,South Piedmont Community College,Federal grants,Number receiving,88
197850,South Piedmont Community College,-,Average amount,4885
197850,South Piedmont Community College,State/Local grants,Number receiving,36
197850,South Piedmont Community College,-,Average amount,1445
197850,South Piedmont Community College,Institutional grants,Number receiving,0
197850,South Piedmont Community College,-,Average amount,-
197850,South Piedmont Community College,Loans,Number receiving,3
197850,South Piedmont Community College,-,Average amount,4467
197869,Appalachian State University,First-time full-time undergraduates,Total,3047
197869,Appalachian State University,Any aid,Number receiving,2078
197869,Appalachian State University,Federal grants,Number receiving,815
197869,Appalachian State University,-,Average amount,4329
197869,Appalachian State University,State/Local grants,Number receiving,871
197869,Appalachian State University,-,Average amount,3191
197869,Appalachian State University,Institutional grants,Number receiving,1091
197869,Appalachian State University,-,Average amount,3356
197869,Appalachian State University,Loans,Number receiving,1483
197869,Appalachian State University,-,Average amount,5618
197887,Asheville-Buncombe Technical Community College,First-time full-time undergraduates,Total,502
197887,Asheville-Buncombe Technical Community College,Any aid,Number receiving,369
197887,Asheville-Buncombe Technical Community College,Federal grants,Number receiving,308
197887,Asheville-Buncombe Technical Community College,-,Average amount,4800
197887,Asheville-Buncombe Technical Community College,State/Local grants,Number receiving,99
197887,Asheville-Buncombe Technical Community College,-,Average amount,1604
197887,Asheville-Buncombe Technical Community College,Institutional grants,Number receiving,38
197887,Asheville-Buncombe Technical Community College,-,Average amount,1289
197887,Asheville-Buncombe Technical Community College,Loans,Number receiving,64
197887,Asheville-Buncombe Technical Community College,-,Average amount,6816
197966,Beaufort County Community College,First-time full-time undergraduates,Total,120
197966,Beaufort County Community College,Any aid,Number receiving,94
197966,Beaufort County Community College,Federal grants,Number receiving,82
197966,Beaufort County Community College,-,Average amount,4680
197966,Beaufort County Community College,State/Local grants,Number receiving,37
197966,Beaufort County Community College,-,Average amount,844
197966,Beaufort County Community College,Institutional grants,Number receiving,35
197966,Beaufort County Community College,-,Average amount,1022
197966,Beaufort County Community College,Loans,Number receiving,1
197966,Beaufort County Community College,-,Average amount,10000
198011,Bladen Community College,First-time full-time undergraduates,Total,107
198011,Bladen Community College,Any aid,Number receiving,79
198011,Bladen Community College,Federal grants,Number receiving,72
198011,Bladen Community College,-,Average amount,2085
198011,Bladen Community College,State/Local grants,Number receiving,12
198011,Bladen Community College,-,Average amount,672
198011,Bladen Community College,Institutional grants,Number receiving,7
198011,Bladen Community College,-,Average amount,628
198011,Bladen Community College,Loans,Number receiving,0
198011,Bladen Community College,-,Average amount,-
198039,Blue Ridge Community College,First-time full-time undergraduates,Total,150
198039,Blue Ridge Community College,Any aid,Number receiving,115
198039,Blue Ridge Community College,Federal grants,Number receiving,94
198039,Blue Ridge Community College,-,Average amount,4228
198039,Blue Ridge Community College,State/Local grants,Number receiving,23
198039,Blue Ridge Community College,-,Average amount,1526
198039,Blue Ridge Community College,Institutional grants,Number receiving,18
198039,Blue Ridge Community College,-,Average amount,1670
198039,Blue Ridge Community College,Loans,Number receiving,32
198039,Blue Ridge Community College,-,Average amount,6275
198084,Brunswick Community College,First-time full-time undergraduates,Total,147
198084,Brunswick Community College,Any aid,Number receiving,100
198084,Brunswick Community College,Federal grants,Number receiving,84
198084,Brunswick Community College,-,Average amount,5122
198084,Brunswick Community College,State/Local grants,Number receiving,16
198084,Brunswick Community College,-,Average amount,2284
198084,Brunswick Community College,Institutional grants,Number receiving,6
198084,Brunswick Community College,-,Average amount,1125
198084,Brunswick Community College,Loans,Number receiving,2
198084,Brunswick Community College,-,Average amount,7016
198118,Caldwell Community College and Technical Institute,First-time full-time undergraduates,Total,365
198118,Caldwell Community College and Technical Institute,Any aid,Number receiving,255
198118,Caldwell Community College and Technical Institute,Federal grants,Number receiving,240
198118,Caldwell Community College and Technical Institute,-,Average amount,4027
198118,Caldwell Community College and Technical Institute,State/Local grants,Number receiving,117
198118,Caldwell Community College and Technical Institute,-,Average amount,905
198118,Caldwell Community College and Technical Institute,Institutional grants,Number receiving,34
198118,Caldwell Community College and Technical Institute,-,Average amount,1350
198118,Caldwell Community College and Technical Institute,Loans,Number receiving,2
198118,Caldwell Community College and Technical Institute,-,Average amount,6800
198154,Cape Fear Community College,First-time full-time undergraduates,Total,1048
198154,Cape Fear Community College,Any aid,Number receiving,666
198154,Cape Fear Community College,Federal grants,Number receiving,541
198154,Cape Fear Community College,-,Average amount,4755
198154,Cape Fear Community College,State/Local grants,Number receiving,144
198154,Cape Fear Community College,-,Average amount,1090
198154,Cape Fear Community College,Institutional grants,Number receiving,48
198154,Cape Fear Community College,-,Average amount,1413
198154,Cape Fear Community College,Loans,Number receiving,228
198154,Cape Fear Community College,-,Average amount,5771
198206,Carteret Community College,First-time full-time undergraduates,Total,124
198206,Carteret Community College,Any aid,Number receiving,86
198206,Carteret Community College,Federal grants,Number receiving,73
198206,Carteret Community College,-,Average amount,5004
198206,Carteret Community College,State/Local grants,Number receiving,20
198206,Carteret Community College,-,Average amount,810
198206,Carteret Community College,Institutional grants,Number receiving,15
198206,Carteret Community College,-,Average amount,554
198206,Carteret Community College,Loans,Number receiving,0
198206,Carteret Community College,-,Average amount,-
198233,Catawba Valley Community College,First-time full-time undergraduates,Total,534
198233,Catawba Valley Community College,Any aid,Number receiving,296
198233,Catawba Valley Community College,Federal grants,Number receiving,243
198233,Catawba Valley Community College,-,Average amount,4626
198233,Catawba Valley Community College,State/Local grants,Number receiving,100
198233,Catawba Valley Community College,-,Average amount,1020
198233,Catawba Valley Community College,Institutional grants,Number receiving,20
198233,Catawba Valley Community College,-,Average amount,830
198233,Catawba Valley Community College,Loans,Number receiving,36
198233,Catawba Valley Community College,-,Average amount,4429
198251,Central Carolina Community College,First-time full-time undergraduates,Total,548
198251,Central Carolina Community College,Any aid,Number receiving,348
198251,Central Carolina Community College,Federal grants,Number receiving,324
198251,Central Carolina Community College,-,Average amount,4475
198251,Central Carolina Community College,State/Local grants,Number receiving,143
198251,Central Carolina Community College,-,Average amount,917
198251,Central Carolina Community College,Institutional grants,Number receiving,45
198251,Central Carolina Community College,-,Average amount,1041
198251,Central Carolina Community College,Loans,Number receiving,0
198251,Central Carolina Community College,-,Average amount,-
198260,Central Piedmont Community College,First-time full-time undergraduates,Total,1592
198260,Central Piedmont Community College,Any aid,Number receiving,1072
198260,Central Piedmont Community College,Federal grants,Number receiving,795
198260,Central Piedmont Community College,-,Average amount,4243
198260,Central Piedmont Community College,State/Local grants,Number receiving,251
198260,Central Piedmont Community College,-,Average amount,1280
198260,Central Piedmont Community College,Institutional grants,Number receiving,26
198260,Central Piedmont Community College,-,Average amount,1769
198260,Central Piedmont Community College,Loans,Number receiving,24
198260,Central Piedmont Community College,-,Average amount,6172
198321,Cleveland Community College,First-time full-time undergraduates,Total,240
198321,Cleveland Community College,Any aid,Number receiving,190
198321,Cleveland Community College,Federal grants,Number receiving,184
198321,Cleveland Community College,-,Average amount,4728
198321,Cleveland Community College,State/Local grants,Number receiving,41
198321,Cleveland Community College,-,Average amount,1295
198321,Cleveland Community College,Institutional grants,Number receiving,6
198321,Cleveland Community College,-,Average amount,583
198321,Cleveland Community College,Loans,Number receiving,0
198321,Cleveland Community College,-,Average amount,-
198330,Coastal Carolina Community College,First-time full-time undergraduates,Total,475
198330,Coastal Carolina Community College,Any aid,Number receiving,293
198330,Coastal Carolina Community College,Federal grants,Number receiving,242
198330,Coastal Carolina Community College,-,Average amount,4289
198330,Coastal Carolina Community College,State/Local grants,Number receiving,100
198330,Coastal Carolina Community College,-,Average amount,1229
198330,Coastal Carolina Community College,Institutional grants,Number receiving,17
198330,Coastal Carolina Community College,-,Average amount,1451
198330,Coastal Carolina Community College,Loans,Number receiving,1
198330,Coastal Carolina Community College,-,Average amount,10000
198367,Craven Community College,First-time full-time undergraduates,Total,201
198367,Craven Community College,Any aid,Number receiving,201
198367,Craven Community College,Federal grants,Number receiving,170
198367,Craven Community College,-,Average amount,4354
198367,Craven Community College,State/Local grants,Number receiving,62
198367,Craven Community College,-,Average amount,1280
198367,Craven Community College,Institutional grants,Number receiving,30
198367,Craven Community College,-,Average amount,1087
198367,Craven Community College,Loans,Number receiving,0
198367,Craven Community College,-,Average amount,-
198376,Davidson County Community College,First-time full-time undergraduates,Total,391
198376,Davidson County Community College,Any aid,Number receiving,287
198376,Davidson County Community College,Federal grants,Number receiving,228
198376,Davidson County Community College,-,Average amount,5037
198376,Davidson County Community College,State/Local grants,Number receiving,83
198376,Davidson County Community College,-,Average amount,1671
198376,Davidson County Community College,Institutional grants,Number receiving,53
198376,Davidson County Community College,-,Average amount,795
198376,Davidson County Community College,Loans,Number receiving,89
198376,Davidson County Community College,-,Average amount,5758
198455,Durham Technical Community College,First-time full-time undergraduates,Total,160
198455,Durham Technical Community College,Any aid,Number receiving,109
198455,Durham Technical Community College,Federal grants,Number receiving,79
198455,Durham Technical Community College,-,Average amount,4734
198455,Durham Technical Community College,State/Local grants,Number receiving,26
198455,Durham Technical Community College,-,Average amount,1361
198455,Durham Technical Community College,Institutional grants,Number receiving,48
198455,Durham Technical Community College,-,Average amount,1168
198455,Durham Technical Community College,Loans,Number receiving,26
198455,Durham Technical Community College,-,Average amount,7472
198464,East Carolina University,First-time full-time undergraduates,Total,4244
198464,East Carolina University,Any aid,Number receiving,3198
198464,East Carolina University,Federal grants,Number receiving,1353
198464,East Carolina University,-,Average amount,4500
198464,East Carolina University,State/Local grants,Number receiving,1321
198464,East Carolina University,-,Average amount,2675
198464,East Carolina University,Institutional grants,Number receiving,1762
198464,East Carolina University,-,Average amount,3611
198464,East Carolina University,Loans,Number receiving,2609
198464,East Carolina University,-,Average amount,7041
198491,Edgecombe Community College,First-time full-time undergraduates,Total,161
198491,Edgecombe Community College,Any aid,Number receiving,153
198491,Edgecombe Community College,Federal grants,Number receiving,145
198491,Edgecombe Community College,-,Average amount,4194
198491,Edgecombe Community College,State/Local grants,Number receiving,12
198491,Edgecombe Community College,-,Average amount,1251
198491,Edgecombe Community College,Institutional grants,Number receiving,15
198491,Edgecombe Community College,-,Average amount,1468
198491,Edgecombe Community College,Loans,Number receiving,61
