,-15,16-17,,,18,,19-24,,25-39,,40+,
College Name,Students,Success,Students,Success,Students,Success,Students,Success,Students,Success,Students,Success
System Totals,"1,098",85%,"8,022",76%,"12,623",67%,"6,239",62%,"1,946",73%,838,76%
Alamance CC,55,91%,207,84%,318,75%,124,65%,33,85%,11,82%
Asheville-Buncombe TCC,16,100%,151,75%,256,69%,136,66%,58,79%,32,75%
Beaufort County CC,10,100%,55,76%,37,84%,15,80%,6,50%,3,*
Bladen CC,5,100%,28,68%,41,61%,40,38%,12,67%,3,*
Blue Ridge CC,6,67%,94,71%,146,61%,69,70%,17,76%,13,62%
Brunswick CC,3,*,44,77%,96,74%,37,62%,7,71%,4,*
Caldwell CC & TI,15,80%,92,82%,194,71%,82,66%,16,81%,9,89%
Cape Fear CC,24,83%,275,75%,719,66%,262,61%,68,59%,30,70%
Carteret CC,1,*,68,66%,81,67%,38,66%,18,78%,3,*
Catawba Valley CC,30,90%,302,88%,401,75%,119,67%,28,64%,9,78%
Central Carolina CC,24,96%,381,80%,242,66%,141,72%,57,89%,42,79%
Central Piedmont CC,51,80%,795,76%,"1,520",67%,651,64%,145,73%,47,81%
Cleveland CC,63,81%,259,84%,96,79%,55,64%,25,84%,14,100%
Coastal Carolina CC,1,*,75,72%,231,72%,179,65%,71,80%,11,82%
College of The Albemarle,9,100%,140,80%,139,73%,71,70%,30,90%,6,67%
Craven CC,7,86%,108,68%,104,79%,74,77%,21,67%,11,82%
Davidson County CC,22,91%,171,82%,228,72%,117,61%,31,94%,22,95%
Durham TCC,15,93%,155,77%,236,55%,144,63%,61,75%,23,57%
Edgecombe CC,1,*,49,92%,41,76%,45,56%,12,42%,7,71%
Fayetteville TCC,35,86%,412,77%,453,59%,352,56%,172,67%,69,64%
Forsyth TCC,57,89%,206,77%,539,71%,252,68%,57,77%,35,74%
Gaston College,5,100%,178,74%,359,70%,177,56%,55,53%,32,81%
Guilford TCC,10,100%,241,64%,737,54%,390,54%,113,59%,47,70%
Halifax CC,18,89%,34,76%,48,56%,31,52%,7,86%,3,*
Haywood CC,40,83%,30,87%,68,68%,38,74%,17,71%,11,100%
Isothermal CC,69,90%,57,86%,42,67%,34,65%,13,92%,2,*
James Sprunt CC,2,*,55,84%,42,88%,41,63%,4,*,4,*
Johnston CC,24,96%,255,79%,234,68%,132,62%,39,82%,22,59%
Lenoir CC,5,60%,123,73%,108,59%,56,61%,13,38%,8,75%
Martin CC,5,80%,26,85%,8,38%,19,42%,2,*,4,*
Mayland CC,0,*,49,73%,15,73%,12,75%,9,67%,2,*
McDowell TCC,5,80%,53,87%,27,56%,20,75%,12,75%,2,*
Mitchell CC,56,88%,121,76%,199,65%,68,68%,25,76%,17,59%
Montgomery CC,5,60%,36,69%,25,68%,20,55%,15,87%,6,67%
Nash CC,6,100%,80,75%,147,71%,70,43%,11,82%,4,*
Pamlico CC,2,*,43,67%,2,*,7,57%,21,95%,6,83%
Piedmont CC,7,86%,57,75%,41,68%,30,70%,14,86%,13,92%
Pitt CC,5,60%,155,66%,481,62%,198,59%,70,60%,27,74%
Randolph CC,47,74%,81,73%,161,78%,82,76%,24,75%,12,83%
Richmond CC,14,79%,79,62%,69,70%,44,57%,15,73%,4,*
Roanoke-Chowan CC,7,86%,20,65%,21,67%,18,61%,11,64%,4,*
Robeson CC,9,78%,81,60%,129,56%,99,52%,28,57%,5,40%
Rockingham CC,3,*,67,75%,134,65%,46,67%,11,73%,6,83%
Rowan-Cabarrus CC,11,91%,200,73%,390,61%,171,60%,42,74%,37,78%
Sampson CC,11,73%,58,81%,64,78%,44,61%,9,67%,4,*
Sandhills CC,69,77%,166,61%,168,68%,79,63%,24,79%,11,55%
South Piedmont CC,20,85%,151,77%,95,61%,52,54%,14,86%,5,100%
Southeastern CC,10,70%,67,79%,82,70%,32,47%,8,88%,1,*
Southwestern CC,10,40%,100,78%,82,63%,46,65%,9,78%,3,*
Stanly CC,38,97%,60,80%,96,66%,62,63%,31,94%,14,71%
Surry CC,5,80%,67,79%,50,76%,25,72%,6,100%,1,*
Tri-County CC,20,90%,99,93%,30,63%,19,74%,6,83%,4,*
Vance-Granville CC,18,89%,138,69%,161,69%,92,57%,29,66%,5,40%
Wake TCC,15,73%,490,72%,"1,683",66%,752,64%,222,75%,82,83%
Wayne CC,27,70%,124,66%,172,75%,86,62%,24,75%,12,83%
Western Piedmont CC,14,100%,113,91%,140,73%,36,53%,17,88%,2,*
Wilkes CC,14,100%,165,88%,138,72%,50,72%,17,88%,8,88%
Wilson CC,22,50%,36,58%,57,56%,58,43%,14,79%,4,*
