,DENTAL HYGIENE**,,,,,PHYSICAL THERAPIST ASST.,,,,,PRACTICAL NURSING,,,,,REGISTERED NURSING,,,,,,VET. MED. TECH.,,,
College Name,"TEST
'17",'17,"% PASSING
'16 '15",,'14,"TEST
'17",'17,"% PASSING
'16 '15",,'14,"TEST
'17",'17,"% PASSING
'16 '15",,'14,"TEST
'17",'17,"% PASSING
'16 '15",,'14,"TEST
'17",'17,"% PASSING
'16 '15",,'14
System Totals,212,82%,92%,91%,93%,144,92%,91%,93%,88%,673,95%,92%,92%,93%,2025 90%,,92%,92%,87%,67,100%,100% 100%,,98%
Alamance CC,,*,*,*,*,,*,*,*,*,,*,*,94%,*,38,79%,88%,86%,81%,,*,*,*,*
Asheville-Buncombe TCC14,,71% 100%,,94% 100%,,,*,*,*,*,,*,80%,*,84%,67,96%,93%,96%,80%,17,100%,100% 100%,,100%
Beaufort County CC,,*,*,*,*,,*,*,*,*,19,95%,80%,90%,89%,44,70%,80%,83%,91%,,*,*,*,*
Bladen CC,,*,*,*,*,,*,*,*,*,23,96%,95%,79%,93%,31,84%,90%,92%,91%,,*,*,*,*
Blue Ridge CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,31,90%,89%,89%,90%,2,*,*,*,*
Brunswick CC,,*,*,*,*,,*,*,*,*,11,100%,100% 100% 100%,,,19,95% 100% 100%,,,89%,,*,*,*,*
Caldwell CC & TI,,*,*,*,*,16,88%,77%,93% 100%,,,*,*,*,*,37,100%,86%,94% 100%,,,*,*,*,*
Cape Fear CC,8,88% 100% 100%,,,89%,,*,*,*,*,21,100%,100% 100% 100%,,,70,97% 100% 100% 100%,,,,,*,*,*,*
Carteret CC,,*,*,*,*,,*,*,*,*,6,100%,57%,89% 100%,,18,94%,92%,90% 100%,,,*,*,*,*
Catawba Valley CC,15,80% 100%,,81%,95%,,*,*,*,*,,*,*,*,*,33,97%,96%,92%,79%,,*,*,*,*
Central Carolina CC,16,75% 100% 100%,,,90%,,*,*,*,*,39,90%,70%,90%,89%,32,44%,78%,91% 100%,,29,100%,100% 100%,,100%
Central Piedmont CC,27,93%,96%,92%,96%,24,100%,100% 100%,,87%,,*,*,*,*,48,94%,96%,97%,87%,,*,*,*,*
Cleveland CC,,*,*,*,*,,*,*,*,*,11,100%,100%,93% 100%,,15,100%,95%,95%,82%,,*,*,*,*
