"Table 326.30. Retention of first-time degree-seeking undergraduates at degree-granting postsecondary institutions, by attendance status, level and control of institution, and percentage of applications accepted: 
              Selected years, 2006 to 2016",,,,,,,,,,,,,,,,,,,,,
"Attendance status, level, control, and percent of applications accepted","First-time degree-seekers (adjusted entry cohort),\1\ by entry year",,,,,,,Students from adjusted cohort returning in the following year,,,,,,,Percent of first-time undergraduates retained,,,,,,
,2006,2009,2011,2012,2013,2014,2015,2007,2010,2012,2013,2014,2015,2016,2006 to 2007,2009 to 2010,2011 to 2012,2012 to 2013,2013 to 2014,2014 to 2015,2015 to 2016
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Full-time students,,,,,,,,,,,,,,,,,,,,,
     All institutions ..........................,"2,171,714","2,371,220","2,271,908","2,222,696","2,222,085","2,211,406","2,180,675","1,542,175","1,705,242","1,631,396","1,620,901","1,642,567","1,647,295","1,640,963",71.0,71.9,71.8,72.9,73.9,74.5,75.3
Public institutions ...........................,"1,524,044","1,732,822","1,666,828","1,637,518","1,646,902","1,639,875","1,619,768","1,072,644","1,222,688","1,170,856","1,168,782","1,193,200","1,200,374","1,198,609",70.4,70.6,70.2,71.4,72.5,73.2,74.0
Nonprofit institutions .................,"466,139","478,755","484,388","483,373","483,617","489,834","491,898","369,084","381,364","386,563","388,107","392,080","396,659","399,434",79.2,79.7,79.8,80.3,81.1,81.0,81.2
For-profit institutions .................,"181,531","159,643","120,692","101,805","91,566","81,697","69,009","100,447","101,190","73,977","64,012","57,287","50,262","42,920",55.3,63.4,61.3,62.9,62.6,61.5,62.2
,,,,,,,,,,,,,,,,,,,,,
4-year institutions ..........................,"1,458,731","1,452,575","1,472,189","1,466,129","1,483,526","1,501,582","1,524,088","1,115,529","1,146,534","1,159,681","1,166,522","1,194,097","1,212,464","1,231,920",76.5,78.9,78.8,79.6,80.5,80.7,80.8
,,,,,,,,,,,,,,,,,,,,,
  Public institutions .....................,"912,401","936,840","957,744","957,709","978,041","995,110","1,018,253","711,490","745,703","758,616","765,686","790,227","807,687","825,885",78.0,79.6,79.2,79.9,80.8,81.2,81.1
    Open admissions ......................…,"62,724","45,458","41,111","34,897","34,706","31,477","26,888","38,839","28,675","24,978","21,128","21,547","19,618","16,689",61.9,63.1,60.8,60.5,62.1,62.3,62.1
    90 percent or more accepted .............,"68,835","63,453","50,200","47,775","55,188","60,160","71,117","49,274","46,280","35,197","33,969","40,116","43,559","51,533",71.6,72.9,70.1,71.1,72.7,72.4,72.5
    75.0 to 89.9 percent accepted .............,"244,177","212,573","230,328","226,673","261,763","281,422","312,658","185,457","163,639","176,676","174,316","203,517","221,245","247,045",76.0,77.0,76.7,76.9,77.7,78.6,79.0
