College Name,"FALL COHORT
(Denominator)",CRED MAT ENROLLMENT,"CREDIT MAT SUCCESS
(Numerator)",2015,"% SUCCESSFUL
2014 2013",,2012
System Totals,"37,635","17,137","12,711",33.80%,30%,28%,26%
Alamance CC,738,391,303,41.10%,33%,33%,29%
Asheville-Buncombe TCC,929,338,262,28.20%,26%,29%,30%
Beaufort County CC,218,121,100,45.90%,28%,29%,32%
Bladen CC,175,70,54,30.90%,43%,22%,18%
Blue Ridge CC,289,109,83,28.70%,32%,26%,24%
Brunswick CC,337,187,150,44.50%,46%,43%,41%
Caldwell CC & TI,756,320,277,36.60%,41%,47%,37%
Cape Fear CC,1558,859,635,40.80%,36%,39%,34%
Carteret CC,259,114,80,30.90%,29%,28%,23%
Catawba Valley CC,930,412,297,31.90%,29%,30%,24%
Central Carolina CC,786,358,274,34.90%,29%,29%,38%
Central Piedmont CC,3918,2120,1616,41.20%,37%,35%,34%
Cleveland CC,397,199,171,43.10%,38%,26%,24%
Coastal Carolina CC,778,352,280,36.00%,32%,44%,27%
College of The Albemarle,522,228,159,30.50%,27%,24%,25%
Craven CC,583,243,185,31.70%,27%,26%,26%
Davidson County CC,691,381,295,42.70%,33%,30%,29%
Durham TCC,660,293,237,35.90%,33%,33%,24%
Edgecombe CC,207,72,49,23.70%,14%,16%,14%
Fayetteville TCC,1714,563,374,21.80%,19%,18%,15%
Forsyth TCC,1306,563,423,32.40%,27%,27%,28%
Gaston College,1075,377,291,27.10%,29%,26%,20%
Guilford TCC,1846,734,508,27.50%,28%,19%,17%
Halifax CC,202,81,50,24.80%,21%,12%,14%
Haywood CC,208,77,52,25.00%,26%,25%,23%
Isothermal CC,243,57,43,17.70%,22%,19%,21%
James Sprunt CC,191,80,60,31.40%,25%,21%,16%
Johnston CC,894,458,397,44.40%,38%,33%,32%
Lenoir CC,425,186,135,31.80%,29%,17%,23%
Martin CC,150,68,48,32.00%,32%,28%,32%
Mayland CC,160,43,36,22.50%,16%,28%,23%
McDowell TCC,186,77,70,37.60%,51%,40%,31%
Mitchell CC,685,299,204,29.80%,31%,28%,26%
Montgomery CC,80,22,15,18.80%,23%,26%,20%
Nash CC,518,226,196,37.80%,34%,33%,26%
Pamlico CC,52,31,26,50.00%,36%,30%,23%
Piedmont CC,138,66,49,35.50%,29%,27%,26%
Pitt CC,1142,457,323,28.30%,22%,23%,27%
Randolph CC,565,246,190,33.60%,30%,28%,24%
Richmond CC,457,267,212,46.40%,40%,30%,35%
Roanoke-Chowan CC,101,10,8,7.90%,5%,9%,11%
Robeson CC,459,235,184,40.10%,20%,17%,9%
Rockingham CC,388,175,116,29.90%,29%,28%,27%
Rowan-Cabarrus CC,1174,476,291,24.80%,22%,21%,17%
Sampson CC,267,116,68,25.50%,26%,33%,21%
Sandhills CC,524,222,155,29.60%,20%,22%,27%
South Piedmont CC,531,240,162,30.50%,24%,16%,19%
Southeastern CC,277,122,80,28.90%,21%,18%,15%
Southwestern CC,378,181,153,40.50%,30%,28%,28%
Stanly CC,312,117,96,30.80%,32%,33%,31%
Surry CC,321,81,67,20.90%,26%,34%,19%
Tri-County CC,210,70,53,25.20%,18%,17%,28%
Vance-Granville CC,596,199,141,23.70%,20%,10%,11%
Wake TCC,3306,1850,1226,37.10%,32%,31%,28%
Wayne CC,684,289,207,30.30%,27%,28%,20%
Western Piedmont CC,417,219,192,46.00%,38%,36%,37%
Wilkes CC,460,283,225,48.90%,38%,45%,43%
Wilson CC,262,107,78,29.80%,29%,28%,25%
