College Name,% CC GRADUATE AND UNIV TRANSFER,,,,"% CC GRADUATE, NOT UNIV TRANSFER",,,,,"% UNIV TRANSFER, NOT CC GRADUATE",,,"% RETAINED (36 HRS), DID NOT CC GRADUATE OR UNIV TRANSFER",,,,,"% GRADUATE, TRANSFER,",,,,
,,2011,2010,2009,2008,2011,2010,2009,2008,2011,2010,2009,2008,2011,2010,2009,2008,,2011,2010,2009,2008
System Totals,"46,578",9%,8%,7%,7%,13%,14%,14%,14%,19%,20%,20%,24%,2%,2%,2%,2%,"20,453",43.90%,44%,43%,47%
Alamance CC,1080,5%,3%,4%,6%,13%,10%,11%,13%,25%,29%,24%,28%,2%,1%,2%,3%,476,44.10%,43%,40%,50%
Asheville-Buncombe TCC1308,,10%,9%,6%,7%,16%,11%,14%,10%,19%,23%,23%,28%,2%,2%,2%,2%,612,46.80%,45%,45%,47%
Beaufort County CC,386,4%,5%,4%,6%,10%,13%,13%,15%,19%,13%,17%,26%,4%,4%,4%,3%,140,36.30%,35%,39%,50%
Bladen CC,210,4%,2%,4%,6%,8%,8%,11%,13%,14%,11%,14%,19%,5%,3%,3%,2%,64,30.50%,24%,33%,40%
Blue Ridge CC,519,9%,7%,6%,7%,13%,16%,13%,15%,15%,14%,14%,19%,1%,1%,2%,2%,198,38.20%,39%,35%,44%
Brunswick CC,297,15%,14%,10%,9%,15%,15%,18%,12%,14%,11%,12%,17%,4%,2%,1%,1%,142,47.80%,41%,41%,39%
Caldwell CC & TI,926,12%,12%,8%,13%,9%,13%,14%,14%,14%,12%,18%,16%,3%,3%,2%,3%,358,38.70%,40%,42%,46%
Cape Fear CC,1785,10%,10%,9%,9%,14%,16%,18%,16%,19%,16%,17%,22%,2%,3%,2%,2%,817,45.80%,45%,46%,49%
Carteret CC,316,7%,6%,7%,6%,11%,18%,12%,15%,22%,17%,16%,18%,3%,1%,2%,1%,138,43.70%,42%,36%,41%
Catawba Valley CC,1107,13%,11%,11%,10%,12%,12%,15%,15%,15%,25%,18%,19%,2%,2%,2%,3%,465,42.00%,50%,46%,46%
Central Carolina CC,1115,5%,4%,5%,7%,13%,15%,19%,18%,21%,21%,19%,23%,2%,2%,2%,2%,462,41.40%,41%,45%,49%
Central Piedmont CC,3159,9%,9%,7%,7%,8%,9%,8%,7%,25%,24%,24%,30%,2%,2%,2%,2%,1405,44.50%,44%,40%,46%
Cleveland CC,694,8%,7%,6%,6%,12%,12%,14%,13%,23%,28%,30%,32%,2%,2%,2%,2%,306,44.10%,49%,52%,53%
Coastal Carolina CC,863,12%,7%,9%,9%,14%,15%,19%,15%,24%,23%,23%,27%,2%,2%,1%,1%,449,52.00%,48%,51%,53%
College of The Albemarle684,,6%,10%,7%,6%,14%,12%,12%,15%,27%,25%,23%,31%,2%,1%,1%,1%,331,48.40%,49%,44%,53%
Craven CC,604,12%,9%,8%,7%,11%,12%,13%,11%,18%,21%,23%,26%,2%,3%,2%,3%,258,42.70%,46%,45%,47%
Davidson County CC,853,14%,11%,12%,10%,20%,21%,23%,19%,15%,14%,13%,20%,3%,2%,1%,1%,433,50.80%,48%,48%,50%
Durham TCC,772,6%,4%,4%,4%,7%,6%,11%,9%,29%,18%,19%,28%,2%,2%,2%,2%,344,44.60%,31%,36%,42%
Edgecombe CC,401,4%,3%,3%,3%,9%,6%,15%,14%,15%,20%,17%,24%,2%,3%,2%,2%,123,30.70%,32%,37%,43%
Fayetteville TCC,1965,6%,7%,5%,5%,10%,9%,10%,8%,22%,25%,26%,33%,3%,2%,2%,2%,812,41.30%,42%,44%,49%
Forsyth TCC,1966,10%,8%,8%,9%,12%,13%,16%,16%,18%,20%,21%,22%,3%,2%,2%,2%,828,42.10%,43%,47%,49%
Gaston College,1366,7%,7%,6%,6%,15%,14%,15%,14%,18%,19%,17%,25%,2%,3%,2%,3%,586,42.90%,43%,40%,48%
Guilford TCC,2448,6%,6%,7%,7%,13%,12%,14%,15%,19%,18%,17%,21%,3%,2%,2%,2%,1008,41.20%,39%,40%,45%
Halifax CC,313,5%,5%,7%,5%,11%,14%,12%,17%,15%,18%,20%,30%,2%,2%,1%,2%,104,33.20%,39%,40%,54%
Haywood CC,479,9%,4%,5%,5%,24%,24%,17%,15%,11%,14%,14%,14%,3%,3%,1%,3%,223,46.60%,44%,37%,36%
Isothermal CC,552,9%,8%,8%,10%,12%,10%,16%,15%,21%,21%,16%,22%,1%,2%,1%,3%,241,43.70%,42%,41%,49%
James Sprunt CC,317,10%,9%,7%,5%,17%,17%,19%,22%,25%,26%,24%,26%,2%,4%,3%,1%,171,53.90%,56%,54%,54%
Johnston CC,754,13%,11%,6%,6%,19%,21%,13%,17%,14%,16%,19%,21%,3%,1%,2%,2%,370,49.10%,50%,41%,45%
Lenoir CC,812,9%,5%,8%,8%,10%,9%,13%,14%,21%,27%,18%,23%,2%,2%,3%,3%,340,41.90%,43%,42%,49%
Martin CC,207,7%,1%,3%,1%,12%,17%,12%,18%,14%,13%,26%,28%,2%,3%,2%,4%,74,35.70%,35%,43%,51%
Mayland CC,296,8%,5%,7%,6%,17%,25%,20%,19%,18%,17%,15%,18%,3%,3%,2%,1%,137,46.30%,50%,44%,43%
McDowell TCC,240,10%,12%,7%,8%,19%,19%,18%,25%,10%,8%,10%,10%,3%,2%,4%,3%,101,42.10%,41%,39%,46%
Mitchell CC,968,14%,12%,8%,11%,12%,13%,14%,15%,25%,26%,22%,27%,1%,2%,2%,3%,504,52.10%,53%,47%,56%
Montgomery CC,99,1%,5%,2%,6%,31%,22%,30%,24%,13%,15%,10%,17%,2%,3%,1%,0%,47,47.50%,45%,43%,48%
Nash CC,853,8%,7%,6%,6%,7%,11%,12%,9%,26%,25%,23%,29%,3%,3%,2%,4%,375,44.00%,46%,43%,47%
Pamlico CC,111,4%,3%,5%,6%,5%,27%,32%,32%,41%,20%,12%,12%,4%,1%,3%,2%,60,54.10%,52%,52%,52%
Piedmont CC,435,2%,6%,4%,5%,11%,18%,18%,23%,24%,20%,19%,17%,2%,3%,2%,2%,169,38.90%,48%,43%,46%
Pitt CC,1304,8%,5%,7%,8%,11%,9%,13%,13%,19%,22%,21%,21%,3%,3%,3%,3%,555,42.60%,39%,44%,45%
Randolph CC,655,11%,9%,8%,8%,18%,18%,19%,14%,12%,16%,16%,21%,4%,2%,2%,3%,290,44.30%,44%,46%,46%
Richmond CC,436,10%,10%,11%,9%,16%,16%,17%,13%,20%,15%,17%,20%,3%,3%,4%,3%,210,48.20%,44%,49%,46%
Roanoke-Chowan CC,149,9%,8%,8%,6%,13%,16%,20%,13%,19%,17%,25%,31%,0%,7%,3%,3%,61,40.90%,47%,55%,53%
Robeson CC,494,4%,3%,4%,4%,8%,14%,16%,19%,14%,10%,21%,11%,4%,3%,2%,3%,143,28.90%,31%,42%,38%
Rockingham CC,546,11%,8%,9%,7%,19%,17%,17%,14%,13%,13%,15%,21%,2%,2%,2%,2%,245,44.90%,41%,43%,45%
Rowan-Cabarrus CC,1357,12%,10%,8%,8%,13%,14%,14%,13%,14%,15%,15%,21%,2%,2%,1%,2%,565,41.60%,41%,38%,45%
Sampson CC,319,7%,10%,10%,8%,14%,14%,18%,15%,24%,30%,24%,28%,3%,4%,1%,3%,149,46.70%,59%,53%,54%
Sandhills CC,688,8%,10%,8%,8%,11%,12%,12%,11%,19%,25%,25%,27%,3%,3%,2%,1%,290,42.20%,50%,47%,48%
South Piedmont CC,574,10%,5%,5%,6%,10%,10%,18%,19%,16%,19%,19%,20%,3%,1%,1%,3%,226,39.40%,35%,43%,48%
Southeastern CC,308,6%,6%,7%,6%,12%,16%,11%,21%,15%,12%,16%,15%,2%,3%,3%,2%,109,35.40%,38%,37%,44%
Southwestern CC,499,12%,13%,12%,9%,19%,16%,15%,14%,12%,13%,16%,16%,2%,2%,1%,2%,227,45.50%,43%,44%,41%
Stanly CC,505,11%,8%,8%,10%,19%,19%,24%,24%,11%,21%,13%,20%,3%,2%,2%,2%,218,43.20%,50%,48%,56%
Surry CC,590,11%,10%,10%,9%,16%,19%,15%,19%,11%,11%,15%,16%,3%,2%,3%,3%,243,41.20%,41%,43%,48%
Tri-County CC,257,11%,12%,10%,7%,13%,8%,13%,12%,17%,26%,27%,29%,4%,3%,0%,2%,115,44.70%,51%,50%,50%
Vance-Granville CC,995,10%,8%,6%,5%,14%,15%,10%,13%,17%,20%,19%,21%,2%,3%,1%,2%,432,43.40%,45%,37%,41%
Wake TCC,3612,11%,9%,7%,7%,13%,13%,12%,10%,22%,22%,21%,23%,2%,2%,2%,3%,1742,48.20%,47%,43%,43%
Wayne CC,725,13%,12%,13%,15%,17%,18%,15%,16%,18%,21%,25%,29%,2%,2%,2%,2%,358,49.40%,53%,55%,62%
Western Piedmont CC,488,17%,15%,11%,13%,14%,15%,16%,23%,10%,12%,13%,17%,3%,3%,3%,2%,207,42.40%,45%,43%,54%
Wilkes CC,467,12%,10%,7%,8%,21%,18%,15%,14%,17%,17%,20%,25%,2%,2%,2%,2%,239,51.20%,47%,45%,49%
Wilson CC,350,10%,9%,7%,6%,13%,15%,14%,15%,20%,16%,27%,29%,3%,2%,2%,2%,158,45.10%,43%,50%,52%
