,-15,,16-17,,18,,19-24,,25-39,,40+,,-15,,16-17,,18,,19-24,,25-39,,40+,
College Name,#,%,#,%,#,%,#,%,#,%,#,%,'10,'09,'10,'09,'10,'09,'10,'09,'10,'09,'10,'09
System Totals,3674,62%,9537,54%,14326,44%,11265,34%,4798,35%,2978,37%,59%,55%,54%,54%,43%,44%,31%,32%,35%,38%,34%,38%
Alamance CC,40,48%,422,50%,284,47%,188,34%,81,30%,65,37%,43%,52%,55%,49%,35%,44%,28%,29%,31%,27%,22%,27%
Asheville-Buncombe TCC127,,57%,482,55%,278,41%,200,36%,141,42%,80,36%,55%,50%,53%,50%,42%,40%,26%,33%,30%,48%,31%,41%
Beaufort County CC,53,47%,91,45%,94,38%,83,28%,39,23%,26,23%,50%,45%,36%,48%,39%,35%,21%,29%,19%,39%,27%,34%
Bladen CC,1,*,45,36%,56,36%,66,26%,30,20%,12,42%,0%,*,32%,55%,26%,39%,21%,14%,30%,24%,19%,26%
Blue Ridge CC,73,59%,107,30%,147,41%,115,28%,54,33%,23,52%,41%,35%,37%,31%,36%,42%,33%,30%,29%,35%,36%,34%
Brunswick CC,7,71%,53,57%,142,49%,56,30%,20,50%,19,53%,*,*,44%,41%,36%,50%,42%,33%,31%,45%,31%,17%
Caldwell CC & TI,192,54%,168,38%,239,44%,189,30%,91,20%,47,26%,53%,58%,35%,46%,45%,46%,28%,28%,23%,31%,35%,30%
Cape Fear CC,31,71%,304,48%,717,50%,454,37%,167,39%,112,52%,50%,45%,47%,48%,49%,49%,32%,33%,47%,49%,49%,50%
Carteret CC,5,100%,63,68%,137,41%,62,26%,32,41%,17,29%,*,10%,59%,43%,36%,45%,33%,24%,40%,24%,36%,43%
Catawba Valley CC,142,69%,241,48%,402,41%,208,25%,69,33%,45,31%,66%,70%,59%,55%,43%,47%,29%,31%,38%,35%,39%,33%
Central Carolina CC,71,44%,386,45%,283,38%,203,37%,95,41%,77,47%,38%,54%,46%,48%,45%,38%,34%,37%,34%,50%,32%,47%
Central Piedmont CC,24,83%,505,65%,1204,46%,967,35%,296,33%,163,39%,60%,71%,65%,57%,45%,42%,32%,33%,28%,34%,23%,30%
Cleveland CC,63,81%,245,64%,153,32%,103,22%,77,17%,53,23%,59%,66%,62%,64%,36%,42%,22%,28%,32%,32%,23%,38%
Coastal Carolina CC,0,*,163,58%,270,49%,277,52%,123,49%,30,70%,*,*,58%,62%,48%,49%,43%,45%,40%,54%,41%,61%
College of The Albemarle21,,57%,212,62%,198,48%,151,34%,67,40%,35,34%,61%,63%,62%,41%,39%,47%,32%,36%,43%,46%,33%,41%
Craven CC,93,54%,71,59%,163,37%,163,41%,77,35%,37,30%,59%,56%,51%,64%,44%,35%,38%,44%,33%,41%,33%,38%
Davidson County CC,88,83%,99,63%,278,46%,229,36%,84,49%,75,63%,78%,87%,60%,52%,42%,44%,31%,40%,45%,45%,51%,41%
Durham TCC,13,69%,170,61%,191,42%,234,41%,109,34%,55,35%,13%,10%,23%,41%,34%,42%,33%,32%,35%,35%,31%,33%
Edgecombe CC,9,44%,78,50%,95,32%,107,21%,60,28%,52,21%,78%,60%,46%,47%,33%,40%,24%,21%,21%,37%,21%,37%
