National Center for Education Statistics,,,
Total enrollment, selected years,,
UnitId,Institution Name,Fall 2015,Fall 2016
197814,College of the Albemarle,2141,2268
197850,South Piedmont Community College,2608,2751
197869,Appalachian State University,17932,18295
197887,Asheville-Buncombe Technical Community College,7233,7226
197966,Beaufort County Community College,1820,1522
198011,Bladen Community College,1378,1248
198039,Blue Ridge Community College,2118,2197
198084,Brunswick Community College,1651,1400
198118,Caldwell Community College and Technical Institute,3251,3369
198154,Cape Fear Community College,8851,8692
198206,Carteret Community College,1363,1500
198233,Catawba Valley Community College,4571,4703
198251,Central Carolina Community College,4977,5137
198260,Central Piedmont Community College,19394,19487
198321,Cleveland Community College,2666,2832
198330,Coastal Carolina Community College,4186,3984
198367,Craven Community College,3012,2883
198376,Davidson County Community College,3797,3819
198455,Durham Technical Community College,5118,5174
198464,East Carolina University,28289,28962
198491,Edgecombe Community College,2322,2228
198507,Elizabeth City State University,1585,1357
198534,Fayetteville Technical Community College,11546,11380
198543,Fayetteville State University,6104,6223
198552,Forsyth Technical Community College,8396,7890
198570,Gaston College,5582,5633
198622,Guilford Technical Community College,11518,11059
198640,Halifax Community College,1154,1136
198668,Haywood Community College,1803,1794
198710,Isothermal Community College,2018,1921
198729,James Sprunt Community College,1195,1228
198774,Johnston Community College,3969,3903
198817,Lenoir Community College,2757,2674
198905,Martin Community College,870,846
198914,Mayland Community College,1156,1188
198923,McDowell Technical Community College,1106,1120
198987,Mitchell Community College,3024,3073
199023,Montgomery Community College,818,763
199087,Nash Community College,3116,3050
199102,North Carolina A & T State University,10852,11177
199111,University of North Carolina at Asheville,3891,3821
199120,University of North Carolina at Chapel Hill,29084,29468
199139,University of North Carolina at Charlotte,27983,28721
199148,University of North Carolina at Greensboro,19393,19647
199157,North Carolina Central University,8011,8094
199184,University of North Carolina School of the Arts,970,1040
199193,North Carolina State University at Raleigh,34015,33755
199218,University of North Carolina Wilmington,14918,15740
199263,Pamlico Community College,494,508
199281,University of North Carolina at Pembroke,6441,6268
199324,Piedmont Community College,1321,1298
199333,Pitt Community College,8574,8279
199421,Randolph Community College,2670,2696
199449,Richmond Community College,2550,2653
199467,Roanoke-Chowan Community College,899,881
199476,Robeson Community College,1936,1843
199485,Rockingham Community College,1866,1779
199494,Rowan-Cabarrus Community College,5180,5338
199625,Sampson Community College,1384,1295
199634,Sandhills Community College,3853,3782
199722,Southeastern Community College,1348,1344
199731,Southwestern Community College,2469,2467
199740,Stanly Community College,2644,2514
199768,Surry Community College,3385,3379
199786,Alamance Community College,4531,4336
199795,Tri-County Community College,1082,1126
199838,Vance-Granville Community College,3257,3200
199856,Wake Technical Community College,21003,21747
199892,Wayne Community College,3363,3402
199908,Western Piedmont Community College,1950,1789
199926,Wilkes Community College,2636,2609
199953,Wilson Community College,1786,1851
199999,Winston-Salem State University,5107,5151
200004,Western Carolina University,10340,10805
433174,Carolinas College of Health Sciences,474,444
198941,Mercy School of Nursing,49,-
