College Name,AdvESL_MeasureableSkills_Participant_POP_MSG,AdvESL_MeasureableSkills_IndividualsServed,AdvESL_MeasureableSkills_Participants12+Hours,AdvESL_MeasureableSkills_ParticipServed,AdvESL_MeasureableSkills_POPs,AdvESL_MeasureableSkills_AHSGrad,AdvESL_MeasureableSkills_HSE,"AdvESL_MeasureableSkills_Postsecondary
Enrollment",AdvESL_MeasureableSkills_AHSCredits,AdvESL_MeasureableSkills_Post-test,AdvESL_MeasureableSkills_MSG
Alamance CC,33.30%,12,11,91.70%,12,0.00%,0.00%,8.30%,0.00%,25.00%,33.30%
Asheville-Buncombe TCC,15.30%,131,113,86.30%,118,0.00%,0.00%,1.70%,0.00%,13.60%,15.30%
Beaufort County CC,25.00%,9,8,88.90%,8,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%
Bladen CC,*,4,4,100.00%,4,*,*,*,*,*,*
Blue Ridge CC,5.90%,42,34,81.00%,34,0.00%,0.00%,0.00%,0.00%,5.90%,5.90%
Blue Ridge Literacy Council,5.30%,44,38,86.40%,38,0.00%,2.60%,0.00%,0.00%,2.60%,5.30%
Brunswick CC,*,6,4,66.70%,4,*,*,*,*,*,*
Brunswick County Literacy,*,3,2,66.70%,2,*,*,*,*,*,*
Burke County Literacy Council,30.80%,24,13,54.20%,13,0.00%,7.70%,0.00%,0.00%,23.10%,30.80%
Caldwell CC and TI,5.60%,27,18,66.70%,18,0.00%,5.60%,0.00%,0.00%,0.00%,5.60%
Cape Fear CC,11.00%,81,71,87.70%,73,0.00%,0.00%,1.40%,0.00%,9.60%,11.00%
Cape Fear Literacy,15.40%,27,13,48.10%,13,0.00%,0.00%,0.00%,0.00%,15.40%,15.40%
Carteret CC,*,1,1,100.00%,1,*,*,*,*,*,*
Catawba Valley CC,9.10%,81,73,90.10%,77,0.00%,0.00%,0.00%,0.00%,9.10%,9.10%
Central Carolina CC,55.80%,58,49,84.50%,52,0.00%,0.00%,3.80%,0.00%,51.90%,55.80%
Central Piedmont CC,21.70%,776,690,88.90%,702,0.00%,0.00%,2.00%,0.00%,19.70%,21.70%
Cleveland CC,0.00%,8,8,100.00%,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Coastal Carolina CC,5.70%,36,33,91.70%,35,0.00%,0.00%,0.00%,0.00%,5.70%,5.70%
College of the Albemarle,20.00%,11,10,90.90%,10,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%
