College Name,BegABELit_Participant_POP_MSG,BegABELit_IndividualsServed,BegABELit_Participants12+ Hours,BegABELit_Particip/Served,BegABELit_POPs,BegABELit_AHSGrad,BegABELit_HSE,BegABELit_Postsecondary,BegABELit_AHSCredits,BegABELit_Posttest,BegABELit_MSG
NC Total,23.10%,"4,484","3,410",76.00%,"3,462",0.10%,1.20%,0.70%,0.00%,21.10%,23.10%
Alamance CC,30.40%,46,46,100.00%,46,0.00%,4.30%,0.00%,0.00%,26.10%,30.40%
Asheville-Buncombe TCC,4.60%,129,129,100.00%,130,0.00%,0.00%,0.00%,0.00%,4.60%,4.60%
Beaufort County CC,7.70%,31,13,41.90%,13,0.00%,0.00%,0.00%,0.00%,7.70%,7.70%
Bladen CC,38.90%,35,34,97.10%,36,0.00%,8.30%,0.00%,0.00%,30.60%,38.90%
Blue Ridge CC,33.30%,6,6,100.00%,6,0.00%,16.70%,0.00%,0.00%,16.70%,33.30%
Blue Ridge Literacy Council,42.90%,19,7,36.80%,7,0.00%,0.00%,0.00%,0.00%,42.90%,42.90%
Brunswick CC,30.90%,123,120,97.60%,123,0.00%,0.80%,0.00%,0.00%,30.10%,30.90%
Brunswick County Literacy,*,51,0,0.00%,0,*,*,*,*,*,*
Burke County Literacy Council,*,28,1,3.60%,1,*,*,*,*,*,*
Caldwell CC and TI,15.40%,74,65,87.80%,65,0.00%,1.50%,0.00%,0.00%,13.80%,15.40%
Cape Fear CC,42.10%,92,75,81.50%,76,0.00%,0.00%,2.60%,0.00%,39.50%,42.10%
Cape Fear Literacy,40.00%,32,5,15.60%,5,0.00%,0.00%,0.00%,0.00%,40.00%,40.00%
Carteret CC,20.00%,31,24,77.40%,25,0.00%,4.00%,0.00%,0.00%,16.00%,20.00%
Catawba Valley CC,4.80%,70,62,88.60%,62,0.00%,1.60%,0.00%,0.00%,3.20%,4.80%
Central Carolina CC,58.90%,59,56,94.90%,56,0.00%,0.00%,0.00%,0.00%,58.90%,58.90%
Central Piedmont CC,12.20%,273,194,71.10%,196,0.00%,1.00%,1.50%,0.00%,9.70%,12.20%
Cleveland CC,33.30%,6,6,100.00%,6,0.00%,0.00%,16.70%,0.00%,16.70%,33.30%
Coastal Carolina CC,21.40%,16,14,87.50%,14,0.00%,0.00%,0.00%,0.00%,21.40%,21.40%
College of the Albemarle,40.00%,9,9,100.00%,10,0.00%,0.00%,0.00%,0.00%,40.00%,40.00%
Craven CC,47.40%,19,19,100.00%,19,0.00%,0.00%,0.00%,0.00%,47.40%,47.40%
Craven Literacy Council,*,11,2,18.20%,2,*,*,*,*,*,*
Davidson County CC,44.10%,34,34,100.00%,34,0.00%,0.00%,2.90%,0.00%,41.20%,44.10%
Durham County Literacy Council,0.00%,25,11,44.00%,11,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Durham TCC,22.50%,111,70,63.10%,71,0.00%,0.00%,0.00%,0.00%,22.50%,22.50%
Edgecombe CC,13.10%,98,78,79.60%,84,0.00%,2.40%,0.00%,0.00%,10.70%,13.10%
Fayetteville TCC,18.30%,111,93,83.80%,93,0.00%,3.20%,1.10%,0.00%,14.00%,18.30%
Forsyth TCC,13.60%,255,219,85.90%,220,0.00%,0.50%,0.50%,0.00%,12.70%,13.60%
Gaston College,33.30%,16,12,75.00%,12,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
"Gaston Literacy Council, Inc.",*,2,2,100.00%,2,*,*,*,*,*,*
Guilford TCC,15.70%,288,250,86.80%,254,0.00%,2.40%,1.60%,0.00%,11.80%,15.70%
Halifax CC,22.20%,18,18,100.00%,18,0.00%,0.00%,0.00%,0.00%,22.20%,22.20%
Haywood CC,12.50%,155,8,5.20%,8,0.00%,12.50%,0.00%,0.00%,0.00%,12.50%
Isothermal CC,*,6,4,66.70%,4,*,*,*,*,*,*
James Sprunt CC,41.70%,50,23,46.00%,24,0.00%,0.00%,4.20%,0.00%,37.50%,41.70%
Johnston CC,50.00%,33,13,39.40%,14,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Lenoir CC,37.80%,120,74,61.70%,74,2.70%,2.70%,0.00%,0.00%,32.40%,37.80%
Literacy Council of Buncombe County,20.00%,7,5,71.40%,5,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%
Literacy Council of Union Co.,22.20%,9,9,100.00%,9,0.00%,0.00%,0.00%,0.00%,22.20%,22.20%
Literacy Volunteers of America-Pitt County,20.00%,10,4,40.00%,5,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%
Martin CC,25.60%,41,38,92.70%,39,0.00%,0.00%,2.60%,0.00%,23.10%,25.60%
Mayland CC,30.00%,76,68,89.50%,70,0.00%,0.00%,0.00%,0.00%,30.00%,30.00%
McDowell TCC,18.20%,47,43,91.50%,44,0.00%,0.00%,0.00%,0.00%,18.20%,18.20%
Mitchell CC,14.50%,66,62,93.90%,62,0.00%,0.00%,0.00%,0.00%,14.50%,14.50%
Montgomery CC,7.70%,30,26,86.70%,26,0.00%,0.00%,0.00%,0.00%,7.70%,7.70%
"Motheread, Inc.",0.00%,14,8,57.10%,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Nash CC,50.00%,14,6,42.90%,6,0.00%,33.30%,16.70%,0.00%,0.00%,50.00%
Orange County Literacy Council,57.10%,27,7,25.90%,7,0.00%,0.00%,0.00%,0.00%,57.10%,57.10%
Pamlico CC,62.50%,7,7,100.00%,8,0.00%,0.00%,0.00%,0.00%,62.50%,62.50%
Piedmont CC,36.80%,37,17,45.90%,19,0.00%,5.30%,0.00%,0.00%,31.60%,36.80%
Pitt CC,37.50%,45,37,82.20%,40,0.00%,0.00%,0.00%,0.00%,37.50%,37.50%
Randolph CC,41.00%,75,61,81.30%,61,0.00%,0.00%,0.00%,0.00%,41.00%,41.00%
"Reading Connections, Inc.",48.10%,41,26,63.40%,27,0.00%,3.70%,0.00%,0.00%,44.40%,48.10%
Richmond CC,11.30%,55,53,96.40%,53,0.00%,0.00%,0.00%,0.00%,11.30%,11.30%
Roanoke Chowan CC,44.40%,15,9,60.00%,9,0.00%,0.00%,11.10%,0.00%,33.30%,44.40%
Robeson CC,16.90%,155,141,91.00%,142,0.00%,0.00%,0.00%,0.00%,16.90%,16.90%
Rockingham CC,33.30%,12,12,100.00%,12,0.00%,8.30%,0.00%,0.00%,25.00%,33.30%
Rockingham County Literacy Project,*,10,3,30.00%,3,*,*,*,*,*,*
Rowan-Cabarrus CC,14.00%,57,50,87.70%,50,0.00%,0.00%,0.00%,0.00%,14.00%,14.00%
Sampson CC,57.10%,45,42,93.30%,42,0.00%,2.40%,0.00%,0.00%,54.80%,57.10%
Sandhills CC,39.30%,81,61,75.30%,61,0.00%,3.30%,3.30%,0.00%,32.80%,39.30%
South Piedmont CC,2.70%,38,35,92.10%,37,0.00%,0.00%,0.00%,0.00%,2.70%,2.70%
Southeastern CC,50.00%,64,62,96.90%,62,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Southwestern CC,38.20%,34,34,100.00%,34,0.00%,0.00%,0.00%,0.00%,38.20%,38.20%
Stanly CC,25.80%,54,31,57.40%,31,3.20%,0.00%,0.00%,0.00%,22.60%,25.80%
Surry CC,12.80%,81,76,93.80%,78,0.00%,0.00%,1.30%,0.00%,11.50%,12.80%
The Adult Literacy Program of Fayetteville Urban M,0.00%,24,18,75.00%,18,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Triangle Literacy Council,10.00%,32,10,31.30%,10,0.00%,0.00%,0.00%,0.00%,10.00%,10.00%
Triangle South Literacy Works,25.00%,26,15,57.70%,16,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%
Tri-County CC,37.50%,40,39,97.50%,40,0.00%,0.00%,0.00%,0.00%,37.50%,37.50%
Vance-Granville CC,11.80%,93,92,98.90%,93,0.00%,1.10%,0.00%,0.00%,10.80%,11.80%
Wake TCC,32.60%,98,92,93.90%,95,0.00%,0.00%,1.10%,0.00%,31.60%,32.60%
Wayne CC,42.40%,111,59,53.20%,59,0.00%,3.40%,5.10%,0.00%,33.90%,42.40%
Western Piedmont CC,18.50%,123,64,52.00%,65,0.00%,0.00%,0.00%,0.00%,18.50%,18.50%
Wilkes CC,15.60%,96,95,99.00%,96,0.00%,1.00%,1.00%,0.00%,13.50%,15.60%
Wilson CC,11.80%,103,91,88.30%,93,0.00%,1.10%,0.00%,0.00%,10.80%,11.80%
YMCA Literacy Initiative,0.00%,9,6,66.70%,6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
