College Name,Curr_Actual_Budget_FTE,Curr_SS_FTE,Total_Curriculum_FTE,Basic_Skills_Budget_FTE,Total_Basic_Skills_Budget_FTE,OCC_Reg_Budget_FTE,CC_SS_FTE,CE_Categorical_Funded_FTE,Total_ConEd_FTE,Total_Budget_FTE,Total_Self_Support_FTE,Total_CE_Categorical_Funded_FTE,Total_FTE_by_College
Alamance CC,"3,531.80",,"3,531.80",329.9,329.9,340.6,15.9,23.5,379.9,"4,202.30",15.9,23.5,"4,241.60"
Asheville-Buncombe TCC,"5,794.90",,"5,794.90",363.3,363.3,504.1,142.2,37.6,683.9,"6,662.30",142.2,37.6,"6,842.10"
Beaufort County CC,"1,163.60",,"1,163.60",98,98,235,12.9,3.3,251.2,"1,496.60",12.9,3.3,"1,512.80"
Bladen CC,"1,114.30",,"1,114.30",56.3,56.3,174.2,6.6,1.1,181.9,"1,344.70",6.6,1.1,"1,352.40"
Blue Ridge CC,"1,710.90",,"1,710.90",81.4,81.4,336.7,52,15.1,403.8,"2,129",52,15.1,"2,196.10"
Brunswick CC,"1,282.90",,"1,282.90",219.6,219.6,259.4,42.2,1.9,303.5,"1,761.90",42.2,1.9,"1,806"
Caldwell CC and TI,"2,933.90",,"2,933.90",179.1,179.1,554.4,31.7,4.8,590.9,"3,667.40",31.7,4.8,"3,703.80"
Cape Fear CC,"7,630.70",,"7,630.70",311.5,311.5,595.4,36.4,8.3,640.1,"8,537.60",36.4,8.3,"8,582.30"
Carteret CC,"1,388.60",,"1,388.60",110.2,110.2,311.6,16.7,1.6,330,"1,810.50",16.7,1.6,"1,828.80"
Catawba Valley CC,"3,716.50",29.5,"3,746.10",194.1,194.1,491.4,55.4,7.4,554.1,"4,402",84.9,7.4,"4,494.30"
Central Carolina CC,"4,185.30",,"4,185.30",528.6,528.6,569.5,30.4,8.3,608.2,"5,283.40",30.4,8.3,"5,322.10"
Central Piedmont CC,"15,430",-3.7,"15,426.40",895.3,895.3,588.4,411.4,109.2,"1,109","16,913.70",407.7,109.2,"17,430.60"
Cleveland CC,"2,393.70",,"2,393.70",74.2,74.2,453.7,14.8,8.8,477.3,"2,921.60",14.8,8.8,"2,945.20"
Coastal Carolina CC,"3,844.90",,"3,844.90",148.5,148.5,521.4,37,1,559.3,"4,514.70",37,1,"4,552.70"
College of the Albemarle,"1,886.50",,"1,886.50",98.5,98.5,243.5,24.5,0.5,268.5,"2,228.50",24.5,0.5,"2,253.50"
Craven CC,"2,416.50",,"2,416.50",76.8,76.8,488.2,23.6,7.3,519.1,"2,981.40",23.6,7.3,"3,012.30"
Davidson County CC,"3,109.30",,"3,109.30",254.5,254.5,303.5,23.9,18.1,345.5,"3,667.20",23.9,18.1,"3,709.20"
Durham TCC,"3,887.30",,"3,887.30",292,292,463.2,41.5,25.7,530.4,"4,642.60",41.5,25.7,"4,709.80"
Edgecombe CC,"1,922.60",,"1,922.60",116,116,202.6,4.4,8.2,215.2,"2,241.20",4.4,8.2,"2,253.80"
Fayetteville TCC,"9,566.10",31.5,"9,597.60",710.6,710.6,"2,072.30",148.8,5.6,"2,226.70","12,349",180.3,5.6,"12,534.80"
