College Name,HighAdultSecEd_Participant_POP_MSG,HighAdultSecEd_IndividualsServed,HighAdultSecEd_Participants12+ Hours,HighAdultSecEd_Particip/Served,HighAdultSecEd_POPs,HighAdultSecEd_AHSGrad,HighAdultSecEd_HSE,HighAdultSecEd_Postsecondary,HighAdultSecEd_AHSCredits,HighAdultSecEd_Posttest,HighAdultSecEd_MSG
NC Total,32.10%,"5,086","4,046",79.60%,"4,118",8.00%,17.90%,6.10%,0.00%,0.10%,32.10%
Alamance CC,26.80%,125,111,88.80%,112,5.40%,18.80%,2.70%,0.00%,0.00%,26.80%
Asheville-Buncombe TCC,44.60%,91,64,70.30%,65,0.00%,38.50%,6.20%,0.00%,0.00%,44.60%
Beaufort County CC,35.70%,41,28,68.30%,28,0.00%,35.70%,0.00%,0.00%,0.00%,35.70%
Bladen CC,31.30%,70,63,90.00%,64,18.80%,9.40%,3.10%,0.00%,0.00%,31.30%
Blue Ridge CC,26.70%,56,30,53.60%,30,0.00%,20.00%,6.70%,0.00%,0.00%,26.70%
Blue Ridge Literacy Council,14.30%,8,6,75.00%,7,0.00%,14.30%,0.00%,0.00%,0.00%,14.30%
Brunswick CC,17.60%,37,33,89.20%,34,5.90%,11.80%,0.00%,0.00%,0.00%,17.60%
Brunswick County Literacy,27.30%,15,11,73.30%,11,0.00%,27.30%,0.00%,0.00%,0.00%,27.30%
Burke County Literacy Council,*,0,0,,0,*,*,*,*,*,*
Caldwell CC and TI,32.60%,123,85,69.10%,86,11.60%,20.90%,0.00%,0.00%,0.00%,32.60%
Cape Fear CC,39.00%,94,76,80.90%,77,27.30%,11.70%,0.00%,0.00%,0.00%,39.00%
Cape Fear Literacy,*,9,2,22.20%,2,*,*,*,*,*,*
Carteret CC,38.30%,58,45,77.60%,47,19.10%,19.10%,0.00%,0.00%,0.00%,38.30%
Catawba Valley CC,42.60%,98,54,55.10%,54,18.50%,24.10%,0.00%,0.00%,0.00%,42.60%
Central Carolina CC,31.50%,174,160,92.00%,165,15.20%,15.80%,0.00%,0.00%,0.60%,31.50%
Central Piedmont CC,24.40%,211,160,75.80%,164,9.10%,13.40%,1.80%,0.00%,0.00%,24.40%
Cleveland CC,73.30%,15,15,100.00%,15,46.70%,26.70%,0.00%,0.00%,0.00%,73.30%
Coastal Carolina CC,27.70%,171,135,78.90%,137,4.40%,6.60%,16.10%,0.00%,0.70%,27.70%
College of the Albemarle,41.30%,106,80,75.50%,80,5.00%,20.00%,16.30%,0.00%,0.00%,41.30%
Craven CC,40.00%,11,10,90.90%,10,0.00%,40.00%,0.00%,0.00%,0.00%,40.00%
Craven Literacy Council,*,0,0,,0,*,*,*,*,*,*
Davidson County CC,39.60%,97,95,97.90%,96,11.50%,16.70%,11.50%,0.00%,0.00%,39.60%
Durham County Literacy Council,14.30%,9,7,77.80%,7,0.00%,14.30%,0.00%,0.00%,0.00%,14.30%
Durham TCC,42.90%,66,55,83.30%,56,32.10%,10.70%,0.00%,0.00%,0.00%,42.90%
Edgecombe CC,32.60%,60,41,68.30%,43,4.70%,27.90%,0.00%,0.00%,0.00%,32.60%
