College Name,HighBegESL_Participant_POP_MSG,HighBegESL_IndividualsServed,HighBegESL_Participants12+ Hours,HighBegESL_Particip/Served,HighBegESL_POPs,HighBegESL_AHSGrad,HighBegESL_HSE,HighBegESL_Postsecondary,HighBegESL_AHSCredits,HighBegESL_Posttest,HighBegESL_MSG
NC Total,39.50%,"4,748","3,893",82.00%,"3,971",0.00%,0.10%,0.40%,0.00%,39.10%,39.50%
Alamance CC,53.00%,112,98,87.50%,100,0.00%,0.00%,0.00%,0.00%,53.00%,53.00%
Asheville-Buncombe TCC,35.20%,143,118,82.50%,122,0.00%,0.00%,0.00%,0.00%,35.20%,35.20%
Beaufort County CC,9.10%,11,11,100.00%,11,0.00%,0.00%,0.00%,0.00%,9.10%,9.10%
Bladen CC,*,4,3,75.00%,3,*,*,*,*,*,*
Blue Ridge CC,50.00%,58,50,86.20%,50,0.00%,2.00%,0.00%,0.00%,48.00%,50.00%
Blue Ridge Literacy Council,16.70%,12,6,50.00%,6,0.00%,0.00%,0.00%,0.00%,16.70%,16.70%
Brunswick CC,*,12,3,25.00%,3,*,*,*,*,*,*
Brunswick County Literacy,*,6,4,66.70%,4,*,*,*,*,*,*
Burke County Literacy Council,50.00%,31,20,64.50%,20,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Caldwell CC and TI,28.00%,38,25,65.80%,25,0.00%,0.00%,0.00%,0.00%,28.00%,28.00%
Cape Fear CC,31.00%,123,99,80.50%,100,0.00%,0.00%,0.00%,0.00%,31.00%,31.00%
Cape Fear Literacy,26.30%,56,19,33.90%,19,0.00%,0.00%,0.00%,0.00%,26.30%,26.30%
Carteret CC,33.30%,19,11,57.90%,12,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
Catawba Valley CC,25.60%,50,43,86.00%,43,0.00%,0.00%,0.00%,0.00%,25.60%,25.60%
Central Carolina CC,45.50%,61,50,82.00%,55,0.00%,0.00%,0.00%,0.00%,45.50%,45.50%
Central Piedmont CC,36.10%,745,650,87.20%,670,0.00%,0.00%,0.40%,0.00%,35.70%,36.10%
Cleveland CC,*,4,4,100.00%,4,*,*,*,*,*,*
Coastal Carolina CC,23.80%,21,21,100.00%,21,0.00%,0.00%,0.00%,0.00%,23.80%,23.80%
College of the Albemarle,37.50%,19,16,84.20%,16,0.00%,0.00%,0.00%,0.00%,37.50%,37.50%
Craven CC,41.20%,25,17,68.00%,17,0.00%,0.00%,0.00%,0.00%,41.20%,41.20%
Craven Literacy Council,50.00%,24,18,75.00%,18,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Davidson County CC,34.40%,33,32,97.00%,32,0.00%,0.00%,0.00%,0.00%,34.40%,34.40%
Durham County Literacy Council,23.70%,77,59,76.60%,59,0.00%,0.00%,0.00%,0.00%,23.70%,23.70%
Durham TCC,41.70%,323,222,68.70%,223,0.00%,0.00%,0.40%,0.00%,41.30%,41.70%
Edgecombe CC,80.00%,6,5,83.30%,5,0.00%,0.00%,0.00%,0.00%,80.00%,80.00%
