College Name,HighInt_ESLMeasureableSkills_Participant_POP_MSG,HighInt_ESLMeasureableSkills_IndividualsServed,HighInt_ESLMeasureableSkills_Participants12+Hours,HighInt_ESLMeasureableSkills_Particip/Served,HighInt_ESLMeasureableSkills_POPs,HighInt_ESLMeasureableSkills_AHSGrad,HighInt_ESLMeasureableSkills_HSE,HighInt_ESLMeasureableSkills_Postsecondary,HighInt_ESLMeasureableSkills_AHSCredits,HighInt_ESLMeasureableSkills_Posttest,HighInt_ESLMeasureableSkills_MSG
NC Total,33.50%,"5,152","4,429",86.00%,"4,531",0.00%,0.10%,0.90%,0.00%,32.40%,33.50%
Alamance CC,24.10%,116,104,89.70%,108,0.00%,0.00%,0.90%,0.00%,23.10%,24.10%
Asheville-Buncombe TCC,18.60%,138,123,89.10%,129,0.00%,0.00%,0.00%,0.00%,18.60%,18.60%
Beaufort County CC,7.70%,18,13,72.20%,13,0.00%,0.00%,0.00%,0.00%,7.70%,7.70%
Bladen CC,0.00%,6,5,83.30%,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Blue Ridge CC,31.90%,48,46,95.80%,47,0.00%,0.00%,0.00%,0.00%,31.90%,31.90%
Blue Ridge Literacy Council,23.10%,33,26,78.80%,26,0.00%,0.00%,0.00%,0.00%,23.10%,23.10%
Brunswick CC,66.70%,14,9,64.30%,9,0.00%,0.00%,0.00%,0.00%,66.70%,66.70%
Brunswick County Literacy,0.00%,5,5,100.00%,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Burke County Literacy Council,11.80%,23,16,69.60%,17,0.00%,0.00%,0.00%,0.00%,11.80%,11.80%
Caldwell CC and TI,25.90%,31,25,80.60%,27,0.00%,0.00%,0.00%,0.00%,25.90%,25.90%
Cape Fear CC,34.30%,116,99,85.30%,99,0.00%,0.00%,0.00%,0.00%,34.30%,34.30%
Cape Fear Literacy,15.80%,62,38,61.30%,38,0.00%,0.00%,0.00%,0.00%,15.80%,15.80%
Carteret CC,*,4,4,100.00%,4,*,*,*,*,*,*
Catawba Valley CC,37.90%,95,86,90.50%,87,0.00%,0.00%,1.10%,0.00%,36.80%,37.90%
Central Carolina CC,63.30%,88,77,87.50%,79,1.30%,0.00%,0.00%,0.00%,62.00%,63.30%
Central Piedmont CC,32.20%,795,711,89.40%,733,0.00%,0.00%,1.40%,0.00%,30.80%,32.20%
Cleveland CC,50.00%,6,6,100.00%,6,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Coastal Carolina CC,36.60%,49,40,81.60%,41,0.00%,0.00%,2.40%,0.00%,34.10%,36.60%
College of the Albemarle,47.10%,23,17,73.90%,17,0.00%,0.00%,0.00%,0.00%,47.10%,47.10%
Craven CC,33.30%,20,20,100.00%,21,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
Craven Literacy Council,16.00%,27,25,92.60%,25,0.00%,0.00%,0.00%,0.00%,16.00%,16.00%
Davidson County CC,37.70%,54,53,98.10%,53,0.00%,0.00%,0.00%,0.00%,37.70%,37.70%
Durham County Literacy Council,25.70%,52,35,67.30%,35,0.00%,0.00%,0.00%,0.00%,25.70%,25.70%
Durham TCC,34.40%,361,275,76.20%,279,0.00%,0.00%,2.50%,0.00%,31.90%,34.40%
Edgecombe CC,41.70%,13,12,92.30%,12,0.00%,0.00%,0.00%,0.00%,41.70%,41.70%
Fayetteville TCC,38.80%,176,152,86.40%,152,0.00%,0.00%,1.30%,0.00%,37.50%,38.80%
Forsyth TCC,18.90%,186,161,86.60%,164,0.00%,0.00%,0.00%,0.00%,18.90%,18.90%
Gaston College,52.20%,47,45,95.70%,46,0.00%,0.00%,0.00%,0.00%,52.20%,52.20%
"Gaston Literacy Council, Inc.",43.80%,15,15,100.00%,16,0.00%,0.00%,0.00%,0.00%,43.80%,43.80%
Guilford TCC,15.00%,459,383,83.40%,386,0.00%,0.00%,0.80%,0.00%,14.20%,15.00%
Halifax CC,*,3,3,100.00%,3,*,*,*,*,*,*
Haywood CC,25.00%,8,8,100.00%,8,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%
Isothermal CC,39.10%,26,23,88.50%,23,0.00%,0.00%,0.00%,0.00%,39.10%,39.10%
James Sprunt CC,18.20%,12,10,83.30%,11,0.00%,0.00%,0.00%,0.00%,18.20%,18.20%
Johnston CC,50.00%,96,74,77.10%,74,0.00%,2.70%,4.10%,0.00%,43.20%,50.00%
Lenoir CC,33.30%,34,30,88.20%,30,0.00%,3.30%,0.00%,0.00%,30.00%,33.30%
Literacy Council of Buncombe County,30.00%,56,50,89.30%,50,0.00%,0.00%,0.00%,0.00%,30.00%,30.00%
Literacy Council of Union Co.,35.70%,14,14,100.00%,14,0.00%,0.00%,0.00%,0.00%,35.70%,35.70%
Martin CC,*,0,0,,0,*,*,*,*,*,*
Mayland CC,63.20%,18,17,94.40%,19,0.00%,0.00%,0.00%,0.00%,63.20%,63.20%
McDowell TCC,20.00%,19,15,78.90%,15,0.00%,0.00%,6.70%,0.00%,13.30%,20.00%
Mitchell CC,25.80%,75,65,86.70%,66,0.00%,1.50%,0.00%,0.00%,24.20%,25.80%
Montgomery CC,16.70%,12,12,100.00%,12,0.00%,0.00%,0.00%,0.00%,16.70%,16.70%
"Motheread, Inc.",27.30%,11,11,100.00%,11,0.00%,0.00%,0.00%,0.00%,27.30%,27.30%
Nash CC,34.60%,27,26,96.30%,26,0.00%,0.00%,0.00%,0.00%,34.60%,34.60%
Orange County Literacy Council,27.90%,105,68,64.80%,68,0.00%,0.00%,1.50%,0.00%,26.50%,27.90%
Pamlico CC,*,0,0,,0,*,*,*,*,*,*
Piedmont CC,0.00%,7,7,100.00%,7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Pitt CC,35.60%,64,57,89.10%,59,0.00%,0.00%,0.00%,0.00%,35.60%,35.60%
Randolph CC,23.50%,46,34,73.90%,34,0.00%,0.00%,0.00%,0.00%,23.50%,23.50%
"Reading Connections, Inc.",25.00%,43,28,65.10%,28,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%
Richmond CC,34.80%,23,23,100.00%,23,0.00%,0.00%,0.00%,0.00%,34.80%,34.80%
Roanoke Chowan CC,*,2,0,0.00%,0,*,*,*,*,*,*
Robeson CC,27.50%,43,40,93.00%,40,0.00%,0.00%,0.00%,0.00%,27.50%,27.50%
Rockingham CC,50.00%,16,16,100.00%,16,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Rockingham County Literacy Project,28.60%,8,7,87.50%,7,0.00%,0.00%,0.00%,0.00%,28.60%,28.60%
Rowan-Cabarrus CC,46.90%,127,122,96.10%,128,0.00%,0.00%,0.00%,0.00%,46.90%,46.90%
Sampson CC,47.60%,43,42,97.70%,42,0.00%,0.00%,0.00%,0.00%,47.60%,47.60%
Sandhills CC,57.80%,45,45,100.00%,45,0.00%,0.00%,0.00%,0.00%,57.80%,57.80%
South Piedmont CC,39.80%,138,124,89.90%,128,0.00%,0.00%,0.00%,0.00%,39.80%,39.80%
Southeastern CC,60.00%,5,5,100.00%,5,0.00%,0.00%,0.00%,0.00%,60.00%,60.00%
Southwestern CC,52.80%,57,36,63.20%,36,0.00%,0.00%,0.00%,0.00%,52.80%,52.80%
Stanly CC,33.30%,16,14,87.50%,15,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
Surry CC,32.30%,32,31,96.90%,31,0.00%,0.00%,0.00%,0.00%,32.30%,32.30%
The Adult Literacy Program of Fayetteville Urban M,*,7,5,71.40%,5,*,*,*,*,*,*
Triangle Literacy Council,29.40%,33,17,51.50%,17,0.00%,5.90%,5.90%,0.00%,17.60%,29.40%
Triangle South Literacy Works,14.30%,10,7,70.00%,7,0.00%,0.00%,0.00%,0.00%,14.30%,14.30%
Tri-County CC,*,3,3,100.00%,3,*,*,*,*,*,*
Vance-Granville CC,0.00%,6,6,100.00%,6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Wake TCC,45.00%,569,513,90.20%,533,0.00%,0.00%,1.50%,0.00%,43.50%,45.00%
Wayne CC,31.10%,94,86,91.50%,90,0.00%,0.00%,2.20%,0.00%,28.90%,31.10%
Western Piedmont CC,26.20%,62,59,95.20%,65,0.00%,0.00%,0.00%,0.00%,26.20%,26.20%
Wilkes CC,50.00%,13,12,92.30%,12,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Wilson CC,40.00%,26,23,88.50%,25,0.00%,0.00%,0.00%,0.00%,40.00%,40.00%
YMCA Literacy Initiative,60.00%,18,15,83.30%,15,0.00%,0.00%,0.00%,0.00%,60.00%,60.00%
