College Name,LowBegESL_Participant_POP_MSG,LowBegESL_IndividualsServed,LowBegESL_Participants12+ Hours,LowBegESL_Particip/Served,LowBegESL_POPs,LowBegESL_AHSGrad,LowBegESL_HSE,LowBegESL_Postsecondary,LowBegESL_AHSCredits,LowBegESL_Posttest,LowBegESL_MSG
NC Total,42.00%,"3,139","2,692",85.80%,"2,746",0.00%,0.10%,0.50%,0.00%,41.40%,42.00%
Alamance CC,28.30%,330,280,84.80%,283,0.00%,0.00%,0.40%,0.00%,27.90%,28.30%
Asheville-Buncombe TCC,38.30%,109,92,84.40%,94,0.00%,0.00%,0.00%,0.00%,38.30%,38.30%
Beaufort County CC,*,4,3,75.00%,3,*,*,*,*,*,*
Bladen CC,*,5,4,80.00%,4,*,*,*,*,*,*
Blue Ridge CC,27.80%,23,17,73.90%,18,0.00%,0.00%,0.00%,0.00%,27.80%,27.80%
Blue Ridge Literacy Council,14.30%,9,6,66.70%,7,0.00%,0.00%,0.00%,0.00%,14.30%,14.30%
Brunswick CC,*,0,0,,0,*,*,*,*,*,*
Brunswick County Literacy,*,0,0,,0,*,*,*,*,*,*
Burke County Literacy Council,35.00%,28,20,71.40%,20,0.00%,0.00%,0.00%,0.00%,35.00%,35.00%
Caldwell CC and TI,38.50%,17,13,76.50%,13,0.00%,0.00%,0.00%,0.00%,38.50%,38.50%
Cape Fear CC,26.80%,51,41,80.40%,41,0.00%,0.00%,0.00%,0.00%,26.80%,26.80%
Cape Fear Literacy,33.30%,18,9,50.00%,9,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
Carteret CC,30.80%,20,13,65.00%,13,0.00%,0.00%,0.00%,0.00%,30.80%,30.80%
Catawba Valley CC,45.50%,14,11,78.60%,11,0.00%,0.00%,0.00%,0.00%,45.50%,45.50%
Central Carolina CC,37.70%,180,148,82.20%,151,0.00%,0.70%,0.00%,0.00%,37.10%,37.70%
Central Piedmont CC,36.80%,281,260,92.50%,269,0.00%,0.40%,0.70%,0.00%,35.70%,36.80%
Cleveland CC,*,3,3,100.00%,3,*,*,*,*,*,*
Coastal Carolina CC,*,2,2,100.00%,2,*,*,*,*,*,*
College of the Albemarle,*,2,1,50.00%,1,*,*,*,*,*,*
Craven CC,30.00%,11,10,90.90%,10,0.00%,0.00%,0.00%,0.00%,30.00%,30.00%
Craven Literacy Council,83.30%,12,12,100.00%,12,0.00%,0.00%,0.00%,0.00%,83.30%,83.30%
Davidson County CC,33.30%,19,19,100.00%,21,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
Durham County Literacy Council,33.30%,40,27,67.50%,27,0.00%,0.00%,3.70%,0.00%,29.60%,33.30%
Durham TCC,49.50%,157,110,70.10%,111,0.00%,0.00%,0.00%,0.00%,49.50%,49.50%
Edgecombe CC,*,0,0,,0,*,*,*,*,*,*
Fayetteville TCC,44.10%,62,59,95.20%,59,0.00%,0.00%,0.00%,0.00%,44.10%,44.10%
Forsyth TCC,18.30%,76,59,77.60%,60,0.00%,0.00%,0.00%,0.00%,18.30%,18.30%
Gaston College,69.20%,13,13,100.00%,13,0.00%,0.00%,0.00%,0.00%,69.20%,69.20%
"Gaston Literacy Council, Inc.",57.10%,48,48,100.00%,49,0.00%,0.00%,0.00%,0.00%,57.10%,57.10%
Guilford TCC,27.10%,244,213,87.30%,214,0.00%,0.00%,0.00%,0.00%,27.10%,27.10%
Halifax CC,11.10%,9,9,100.00%,9,0.00%,0.00%,0.00%,0.00%,11.10%,11.10%
Haywood CC,*,1,1,100.00%,1,*,*,*,*,*,*
Isothermal CC,*,5,4,80.00%,4,*,*,*,*,*,*
James Sprunt CC,*,4,3,75.00%,4,*,*,*,*,*,*
Johnston CC,51.40%,39,35,89.70%,35,0.00%,0.00%,0.00%,0.00%,51.40%,51.40%
