College Name,LowIntBasicEd_Participant_POP_MSG,LowIntBasicEd_IndividualsServed,LowIntBasicEd_Participants12+ Hours,LowIntBasicEd_Particip/Served,LowIntBasicEd_POPs,LowIntBasicEd_AHSGrad,LowIntBasicEd_HSE,LowIntBasicEd_Postsecondary,LowIntBasicEd_AHSCredits,LowIntBasicEd_Posttest,LowIntBasicEd_MSG
NC Total,36.20%,"14,959","12,294",82.20%,"12,547",0.60%,3.70%,3.00%,0.00%,28.90%,36.20%
Alamance CC,27.00%,312,279,89.40%,285,1.10%,3.20%,4.20%,0.00%,18.60%,27.00%
Asheville-Buncombe TCC,31.30%,316,251,79.40%,256,0.00%,5.10%,2.70%,0.00%,23.40%,31.30%
Beaufort County CC,44.40%,190,142,74.70%,142,0.00%,8.50%,0.00%,0.00%,35.90%,44.40%
Bladen CC,47.10%,48,33,68.80%,34,0.00%,5.90%,0.00%,0.00%,41.20%,47.10%
Blue Ridge CC,48.90%,297,183,61.60%,186,0.50%,3.20%,1.60%,0.00%,43.50%,48.90%
Blue Ridge Literacy Council,57.10%,9,7,77.80%,7,0.00%,14.30%,0.00%,0.00%,42.90%,57.10%
Brunswick CC,67.30%,63,52,82.50%,52,0.00%,1.90%,0.00%,0.00%,65.40%,67.30%
Brunswick County Literacy,12.50%,11,8,72.70%,8,0.00%,12.50%,0.00%,0.00%,0.00%,12.50%
Burke County Literacy Council,*,1,1,100.00%,1,*,*,*,*,*,*
Caldwell CC and TI,36.40%,155,139,89.70%,140,0.70%,2.90%,0.00%,0.00%,32.90%,36.40%
Cape Fear CC,32.50%,375,306,81.60%,314,2.50%,3.80%,1.00%,0.00%,25.20%,32.50%
Cape Fear Literacy,48.00%,50,24,48.00%,25,0.00%,0.00%,0.00%,0.00%,48.00%,48.00%
Carteret CC,19.60%,64,56,87.50%,56,0.00%,5.40%,0.00%,0.00%,14.30%,19.60%
Catawba Valley CC,31.90%,282,183,64.90%,185,0.50%,2.70%,2.70%,0.00%,25.90%,31.90%
Central Carolina CC,52.30%,290,254,87.60%,258,2.30%,2.70%,1.20%,0.00%,46.10%,52.30%
Central Piedmont CC,32.90%,1412,1072,75.90%,1097,0.10%,2.40%,6.80%,0.00%,23.60%,32.90%
Cleveland CC,52.00%,50,50,100.00%,50,2.00%,4.00%,0.00%,0.00%,46.00%,52.00%
Coastal Carolina CC,46.40%,301,260,86.40%,267,0.70%,1.50%,2.60%,0.00%,41.60%,46.40%
College of the Albemarle,47.40%,89,78,87.60%,78,0.00%,1.30%,1.30%,0.00%,44.90%,47.40%
Craven CC,42.00%,127,119,93.70%,119,0.00%,7.60%,0.80%,0.00%,33.60%,42.00%
Craven Literacy Council,*,5,3,60.00%,3,*,*,*,*,*,*
Davidson County CC,55.30%,408,391,95.80%,407,0.00%,3.20%,13.30%,0.00%,38.80%,55.30%
Durham County Literacy Council,50.00%,27,26,96.30%,26,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Durham TCC,29.40%,450,335,74.40%,340,1.80%,1.50%,2.40%,0.00%,23.80%,29.40%
Edgecombe CC,46.70%,124,105,84.70%,107,0.00%,1.90%,0.90%,0.00%,43.90%,46.70%
Fayetteville TCC,23.90%,618,575,93.00%,582,1.20%,2.60%,2.10%,0.00%,18.00%,23.90%
Forsyth TCC,31.90%,493,302,61.30%,310,0.00%,2.30%,9.40%,0.00%,20.30%,31.90%
Gaston College,36.40%,265,233,87.90%,236,0.00%,2.10%,1.30%,0.00%,33.10%,36.40%
"Gaston Literacy Council, Inc.",20.00%,10,10,100.00%,10,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%
Guilford TCC,19.40%,678,589,86.90%,599,0.50%,1.80%,1.30%,0.00%,15.70%,19.40%
Halifax CC,43.80%,67,63,94.00%,64,0.00%,1.60%,3.10%,0.00%,39.10%,43.80%
Haywood CC,43.80%,77,46,59.70%,48,0.00%,12.50%,4.20%,0.00%,27.10%,43.80%
Isothermal CC,40.90%,70,63,90.00%,66,6.10%,0.00%,1.50%,0.00%,33.30%,40.90%
James Sprunt CC,36.70%,75,58,77.30%,60,8.30%,1.70%,1.70%,0.00%,25.00%,36.70%
Johnston CC,46.80%,222,168,75.70%,173,0.00%,8.10%,2.30%,0.00%,36.40%,46.80%
Lenoir CC,40.80%,382,317,83.00%,321,0.60%,2.20%,0.30%,0.00%,37.70%,40.80%
Literacy Council of Buncombe County,50.00%,12,8,66.70%,8,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Literacy Council of Union Co.,*,3,3,100.00%,3,*,*,*,*,*,*
Literacy Volunteers of America-Pitt County,63.60%,14,11,78.60%,11,0.00%,0.00%,9.10%,0.00%,54.50%,63.60%
Martin CC,36.40%,88,64,72.70%,66,0.00%,1.50%,1.50%,0.00%,33.30%,36.40%
Mayland CC,48.60%,247,208,84.20%,214,0.00%,4.20%,0.50%,0.00%,43.90%,48.60%
McDowell TCC,54.00%,65,50,76.90%,50,0.00%,0.00%,0.00%,0.00%,54.00%,54.00%
Mitchell CC,39.60%,203,162,79.80%,164,0.00%,7.30%,2.40%,0.00%,29.90%,39.60%
