College Name,LowIntESL_Participant_POP_MSG,LowIntESL_IndividualsServed,"LowIntESL_Participants
(12+ Hours)",LowIntESL_Particip/Served,LowIntESL_POPs,LowIntESL_AHSGrad,LowIntESL_HSE,LowIntESL_Postsecondary,LowIntESL_AHSCredits,LowIntESL_Posttest,LowIntESL_MSG
NC Total,34.20%,"5,863","4,998",85.20%,"5,118",0.00%,0.00%,0.40%,0.00%,33.70%,34.20%
Alamance CC,46.40%,57,54,94.70%,56,0.00%,1.80%,0.00%,0.00%,44.60%,46.40%
Asheville-Buncombe TCC,29.70%,175,154,88.00%,158,0.00%,0.00%,0.00%,0.00%,29.70%,29.70%
Beaufort County CC,13.30%,17,15,88.20%,15,0.00%,0.00%,0.00%,0.00%,13.30%,13.30%
Bladen CC,*,4,2,50.00%,2,*,*,*,*,*,*
Blue Ridge CC,30.80%,65,50,76.90%,52,0.00%,0.00%,0.00%,0.00%,30.80%,30.80%
Blue Ridge Literacy Council,42.90%,25,20,80.00%,21,0.00%,0.00%,0.00%,0.00%,42.90%,42.90%
Brunswick CC,*,6,3,50.00%,3,*,*,*,*,*,*
Brunswick County Literacy,9.10%,14,11,78.60%,11,0.00%,0.00%,0.00%,0.00%,9.10%,9.10%
Burke County Literacy Council,80.00%,25,10,40.00%,10,0.00%,0.00%,0.00%,0.00%,80.00%,80.00%
Caldwell CC and TI,27.80%,44,35,79.50%,36,0.00%,0.00%,0.00%,0.00%,27.80%,27.80%
Cape Fear CC,28.10%,100,88,88.00%,89,0.00%,0.00%,0.00%,0.00%,28.10%,28.10%
Cape Fear Literacy,19.00%,50,20,40.00%,21,0.00%,0.00%,0.00%,0.00%,19.00%,19.00%
Carteret CC,*,5,3,60.00%,3,*,*,*,*,*,*
Catawba Valley CC,37.90%,104,91,87.50%,95,0.00%,0.00%,0.00%,0.00%,37.90%,37.90%
Central Carolina CC,49.30%,85,73,85.90%,75,0.00%,0.00%,0.00%,0.00%,49.30%,49.30%
Central Piedmont CC,32.60%,922,798,86.60%,821,0.00%,0.00%,0.60%,0.00%,32.00%,32.60%
Cleveland CC,42.90%,6,6,100.00%,7,0.00%,0.00%,0.00%,0.00%,42.90%,42.90%
Coastal Carolina CC,18.60%,45,42,93.30%,43,0.00%,0.00%,0.00%,0.00%,18.60%,18.60%
College of the Albemarle,22.20%,49,36,73.50%,36,0.00%,0.00%,0.00%,0.00%,22.20%,22.20%
Craven CC,20.60%,32,32,100.00%,34,0.00%,0.00%,0.00%,0.00%,20.60%,20.60%
Craven Literacy Council,32.30%,39,31,79.50%,31,0.00%,0.00%,0.00%,0.00%,32.30%,32.30%
Davidson County CC,25.00%,40,40,100.00%,40,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%
Durham County Literacy Council,25.00%,60,44,73.30%,44,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%
Durham TCC,33.60%,472,369,78.20%,372,0.00%,0.00%,1.10%,0.00%,32.50%,33.60%
Edgecombe CC,85.70%,8,7,87.50%,7,0.00%,0.00%,0.00%,0.00%,85.70%,85.70%
Fayetteville TCC,31.40%,92,86,93.50%,86,0.00%,0.00%,0.00%,0.00%,31.40%,31.40%
Forsyth TCC,20.90%,248,209,84.30%,215,0.00%,0.00%,0.00%,0.00%,20.90%,20.90%
Gaston College,46.00%,54,50,92.60%,50,0.00%,0.00%,0.00%,0.00%,46.00%,46.00%
"Gaston Literacy Council, Inc.",46.70%,29,29,100.00%,30,0.00%,0.00%,0.00%,0.00%,46.70%,46.70%
Guilford TCC,18.70%,570,488,85.60%,493,0.00%,0.00%,0.60%,0.00%,18.10%,18.70%
Halifax CC,*,1,1,100.00%,1,*,*,*,*,*,*
Haywood CC,25.00%,10,8,80.00%,8,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%
Isothermal CC,18.20%,18,11,61.10%,11,0.00%,0.00%,0.00%,0.00%,18.20%,18.20%
James Sprunt CC,23.50%,20,16,80.00%,17,0.00%,0.00%,0.00%,0.00%,23.50%,23.50%
Johnston CC,40.80%,100,75,75.00%,76,0.00%,0.00%,0.00%,0.00%,40.80%,40.80%
Lenoir CC,26.10%,56,46,82.10%,46,0.00%,0.00%,0.00%,0.00%,26.10%,26.10%
Literacy Council of Buncombe County,42.00%,76,69,90.80%,69,0.00%,0.00%,0.00%,0.00%,42.00%,42.00%
Literacy Council of Union Co.,17.60%,17,17,100.00%,17,0.00%,0.00%,0.00%,0.00%,17.60%,17.60%
Martin CC,*,0,0,,0,*,*,*,*,*,*
Mayland CC,30.00%,24,17,70.80%,20,0.00%,0.00%,0.00%,0.00%,30.00%,30.00%
McDowell TCC,39.10%,28,23,82.10%,23,0.00%,0.00%,0.00%,0.00%,39.10%,39.10%
Mitchell CC,21.40%,83,70,84.30%,70,0.00%,0.00%,0.00%,0.00%,21.40%,21.40%
Montgomery CC,33.30%,25,23,92.00%,24,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
"Motheread, Inc.",77.80%,9,9,100.00%,9,0.00%,0.00%,0.00%,0.00%,77.80%,77.80%
Nash CC,33.30%,29,27,93.10%,27,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
Orange County Literacy Council,25.30%,101,73,72.30%,75,0.00%,0.00%,0.00%,0.00%,25.30%,25.30%
Pamlico CC,*,0,0,,0,*,*,*,*,*,*
Piedmont CC,*,4,4,100.00%,4,*,*,*,*,*,*
Pitt CC,34.90%,91,85,93.40%,86,0.00%,0.00%,0.00%,0.00%,34.90%,34.90%
Randolph CC,29.80%,54,46,85.20%,47,0.00%,0.00%,0.00%,0.00%,29.80%,29.80%
"Reading Connections, Inc.",52.80%,96,71,74.00%,72,0.00%,0.00%,0.00%,0.00%,52.80%,52.80%
Richmond CC,50.00%,55,50,90.90%,50,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
Roanoke Chowan CC,*,7,4,57.10%,4,*,*,*,*,*,*
Robeson CC,40.70%,118,111,94.10%,113,0.00%,0.00%,0.00%,0.00%,40.70%,40.70%
Rockingham CC,22.20%,19,17,89.50%,18,0.00%,0.00%,0.00%,0.00%,22.20%,22.20%
Rockingham County Literacy Project,*,1,1,100.00%,1,*,*,*,*,*,*
Rowan-Cabarrus CC,63.50%,142,134,94.40%,137,0.00%,0.00%,0.00%,0.00%,63.50%,63.50%
Sampson CC,35.50%,65,62,95.40%,62,0.00%,0.00%,0.00%,0.00%,35.50%,35.50%
Sandhills CC,36.80%,43,38,88.40%,38,0.00%,0.00%,0.00%,0.00%,36.80%,36.80%
South Piedmont CC,47.20%,132,120,90.90%,127,0.00%,0.00%,0.00%,0.00%,47.20%,47.20%
Southeastern CC,13.60%,33,20,60.60%,22,0.00%,0.00%,0.00%,0.00%,13.60%,13.60%
Southwestern CC,40.00%,59,39,66.10%,40,0.00%,0.00%,0.00%,0.00%,40.00%,40.00%
Stanly CC,36.70%,40,30,75.00%,30,0.00%,0.00%,0.00%,0.00%,36.70%,36.70%
Surry CC,32.40%,35,32,91.40%,34,0.00%,0.00%,0.00%,0.00%,32.40%,32.40%
The Adult Literacy Program of Fayetteville Urban M,12.50%,9,8,88.90%,8,0.00%,0.00%,0.00%,0.00%,12.50%,12.50%
Triangle Literacy Council,23.50%,34,17,50.00%,17,0.00%,0.00%,0.00%,0.00%,23.50%,23.50%
Triangle South Literacy Works,26.10%,30,23,76.70%,23,0.00%,0.00%,0.00%,0.00%,26.10%,26.10%
Tri-County CC,*,2,1,50.00%,1,*,*,*,*,*,*
Vance-Granville CC,25.00%,14,12,85.70%,12,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%
Wake TCC,47.30%,467,446,95.50%,463,0.00%,0.00%,1.10%,0.00%,46.20%,47.30%
Wayne CC,36.80%,110,107,97.30%,117,0.00%,0.00%,3.40%,0.00%,33.30%,36.80%
Western Piedmont CC,21.70%,65,58,89.20%,60,0.00%,0.00%,0.00%,0.00%,21.70%,21.70%
Wilkes CC,63.90%,37,34,91.90%,36,0.00%,0.00%,0.00%,0.00%,63.90%,63.90%
Wilson CC,31.80%,31,22,71.00%,22,0.00%,0.00%,4.50%,0.00%,27.30%,31.80%
YMCA Literacy Initiative,48.00%,31,25,80.60%,25,0.00%,0.00%,4.00%,0.00%,44.00%,48.00%
