College Name,Blet_NumTest2017,Blet_PCTPassing2017,Blet_PCTPassing2016,Blet_PCTPassing2015,Blet_PCTPassing2014,DetentionOfficer_NumTest2017,DetentionOfficer_PCTPassing2017,DetentionOfficer_PCTPassing2016,DetentionOfficer_PCTPassing2015,DetentionOfficer_PCTPassing2014,EMTBasic_NumTest2017,EMTBasic_PCTPassing2017,EMTBasic_PCTPassing2016,EMTBasic_PCTPassing2015,EMTBasic_PCTPassing2014,EMTIntermediate_NumTest2017,EMTIntermediate_PCTPassing2017,EMTIntermediate_PCTPassing2016,EMTIntermediate_PCTPassing2015,EMTIntermediate_PCTPassing2014,EMTParamedic_NumTest2017,EMTParamedic_PCTPassing2017,EMTParamedic_PCTPassing2016,EMTParamedic_PCTPassing2015,EMTParamedic_PCTPassing2014
System Totals,"1,492",81%,80%,82%,82%,745,92%,92%,96%,97%,"3,000",72%,77%,76%,78%,211,58%,72%,65%,70%,633,73%,80%,89%,91%
Alamance CC,34,82%,73%,92%,76%,36,81%,81%,96%,93%,59,69%,68%,78%,74%,,*,*,*,*,8,38%,80%,88%,78%
Asheville-Buncombe TCC46,,89%,98%,76%,88%,29,100%,100% 100% 100%,,,86,74%,86%,80%,78%,29,66%,95%,85%,67%,24,88%,93%,97% 100%,
Beaufort County CC,5,80%,67%,81%,83%,,*,*,*,*,41,80%,79%,50%,79%,,*,*,*,*,20,60%,60%,83% 100%,
Bladen CC,5,80%,*,90%,78%,,*,*,*,*,13,77%,75%,87%,67%,,*,53%,50%,67%,6,17%,86%,79%,67%
Blue Ridge CC,25,68%,79%,76%,95%,,*,*,*,*,40,65%,82%,77%,74%,11,45%,*,*,88%,15,67%,50%,72%,69%
Brunswick CC,28,89%,71%,60%,88%,18,89%,*,*,*,9,67%,72%,61%,65%,8,38%,*,45%,55%,1,*,*,100%,*
Caldwell CC & TI,18,72%,71%,65%,50%,9,89%,*,*,*,75,92%,75%,66%,64%,,*,*,*,*,11,64%,65%,68%,83%
Cape Fear CC,84,65%,82%,79%,88%,66,95%,95% 100%,,96%,108,82%,94%,84%,92%,28,82%,81%,87%,91%,14,36% 100%,,*,100%
Carteret CC,34,76%,86%,80%,61%,6,100%,80%,*,*,11,64%,64%,61%,75%,,*,71%,*,*,12,67%,*,100%,92%
Catawba Valley CC,20,75%,55%,51%,48%,15,93% 100% 100% 100%,,,,49,88%,94%,85%,78%,7,100%,*,100%,83%,9,89% 100% 100% 100%,,,
Central Carolina CC,27,93%,95%,96%,96%,11,100%,100% 100% 100%,,,31,65%,78%,74%,96%,,*,*,*,*,7,71%,79%,*,67%
Central Piedmont CC,43,86%,91%,94%,92%,,*,*,*,*,170,86%,88%,84%,88%,,*,*,*,*,23,96%,*,100% 100%,
Cleveland CC,18,94%,84%,80%,83%,26,96%,88%,95% 100%,,55,60%,64%,75%,74%,,*,*,*,*,26,65%,47% 100% 100%,,
Coastal Carolina CC,39,92%,93%,98%,69%,22,100%,95% 100%,,95%,74,96%,96%,96%,95%,,*,*,*,93%,14,100%,*,100% 100%,
College of The Albemarle35,,57%,45%,70%,78%,16,100%,100%,94% 100%,,59,64%,92%,79%,91%,5,80%,*,71%,60%,10,60%,*,80%,*
Craven CC,24,83%,87%,92%,70%,17,94%,95%,82% 100%,,57,51%,57%,52%,57%,2,*,63%,86%,*,3,*,43%,*,100%
Davidson County CC,40,60%,56%,79%,96%,,*,*,*,*,65,69%,85%,84%,75%,6,50%,*,*,67%,19,63% 100%,,93%,81%
