College Name,Basic_Skills_Progress,Credit_English_Success,Credit_Math_Success,First_Year_Progression,Curr_Completion_Rate,Licensure_Passing_Rate,Transfer_Performance,MEEL,ACABE,ABLBA,BBL
System Excellence Level,68.30%,55.90%,32.50%,75.00%,51.90%,90.90%,87.60%,,,,
System Baseline,34.50%,23.80%,10.10%,54.10%,35.90%,69.90%,65.10%,,,,
Average College Percentage,60.10%,53.00%,32.50%,70.90%,43.40%,79.80%,83.70%,,,,
System Totals (All Students),58.40%,55.00%,33.80%,69.60%,43.90%,81.60%,83.40%,,,,
Alamance CC,49.80%,62.60%,41.10%,77.50%,44.10%,76.70%,80.80%,3,1,3,0
Asheville-Buncombe TCC,55.80%,39.50%,28.20%,71.60%,46.80%,86.80%,90.90%,1,3,3,0
Beaufort County CC,56.30%,49.50%,45.90%,79.40%,36.30%,74.60%,89.70%,3,0,4,0
Bladen CC,62.70%,54.90%,30.90%,57.40%,30.50%,80.70%,83.60%,0,3,3,1
Blue Ridge CC,62.60%,48.40%,28.70%,66.40%,38.20%,75.30%,93.50%,1,1,5,0
Brunswick CC,69.00%,53.10%,44.50%,73.30%,47.80%,87.20%,80.80%,2,4,1,0
Caldwell CC & TI,51.90%,40.60%,36.60%,73.50%,38.70%,88.80%,79.10%,1,2,4,0
Cape Fear CC,51.90%,62.00%,40.80%,67.10%,45.80%,84.00%,81.30%,2,2,3,0
Carteret CC,53.90%,53.70%,30.90%,67.90%,43.70%,79.80%,83.10%,0,2,5,0
Catawba Valley CC,65.80%,68.10%,31.90%,78.60%,42.00%,86.30%,82.90%,2,2,3,0
Central Carolina CC,72.90%,41.60%,34.90%,75.80%,41.40%,80.40%,80.90%,3,1,3,0
Central Piedmont CC,54.30%,65.60%,41.20%,69.20%,44.50%,86.40%,80.20%,2,2,3,0
Cleveland CC,76.80%,36.00%,43.10%,81.10%,44.10%,79.60%,88.90%,4,1,2,0
Coastal Carolina CC,61.90%,70.30%,36.00%,71.30%,52.00%,95.40%,86.50%,4,3,0,0
College of The Albemarle,61.10%,55.00%,30.50%,76.70%,48.40%,75.70%,84.40%,1,4,2,0
Craven CC,59.40%,64.00%,31.70%,74.20%,42.70%,74.30%,82.20%,1,1,5,0
Davidson County CC,69.30%,64.40%,42.70%,75.50%,50.80%,76.60%,79.90%,4,1,2,0
Durham TCC,51.10%,55.90%,35.90%,65.10%,44.60%,88.90%,84.50%,2,3,2,0
Edgecombe CC,72.10%,61.80%,23.70%,72.30%,30.70%,80.90%,79.50%,2,2,2,1
Fayetteville TCC,55.00%,43.70%,21.80%,65.10%,41.30%,87.00%,83.90%,0,2,5,0
Forsyth TCC,52.00%,61.00%,32.40%,72.60%,42.10%,86.70%,86.10%,1,3,3,0
Gaston College,57.60%,52.10%,27.10%,67.20%,42.90%,90.80%,79.80%,0,1,6,0
Guilford TCC,41.50%,51.00%,27.50%,56.60%,41.20%,83.10%,80.40%,0,1,6,0
Halifax CC,55.40%,67.30%,24.80%,66.70%,33.20%,70.90%,72.00%,1,0,5,1
Haywood CC,88.00%,51.90%,25.00%,76.50%,46.60%,87.70%,90.00%,3,2,2,0
Isothermal CC,54.10%,63.80%,17.70%,80.60%,43.70%,76.20%,90.00%,3,1,3,0
James Sprunt CC,60.60%,46.60%,31.40%,80.40%,53.90%,65.10%,88.40%,3,1,2,1
Johnston CC,78.30%,57.60%,44.40%,72.40%,49.10%,84.70%,87.60%,3,4,0,0
Lenoir CC,63.60%,50.80%,31.80%,64.50%,41.90%,70.60%,82.00%,0,1,6,0
Martin CC,55.20%,32.70%,32.00%,64.10%,35.70%,61.70%,81.00%,0,0,5,2
Mayland CC,65.40%,28.80%,22.50%,73.60%,46.30%,82.00%,70.60%,0,4,3,0
McDowell TCC,63.80%,66.70%,37.60%,76.50%,42.10%,87.30%,93.10%,4,2,1,0
Mitchell CC,54.10%,50.70%,29.80%,71.20%,52.10%,75.50%,83.30%,1,1,5,0
Montgomery CC,51.40%,53.80%,18.80%,68.20%,47.50%,86.80%,70.00%,0,3,4,0
Nash CC,54.30%,35.70%,37.80%,67.00%,44.00%,73.90%,91.50%,2,1,4,0
Pamlico CC,83.10%,40.40%,50.00%,75.30%,54.10%,54.50%,88.90%,5,0,1,1
Piedmont CC,55.10%,63.00%,35.50%,75.30%,38.90%,69.20%,76.50%,3,0,3,1
Pitt CC,60.80%,49.10%,28.30%,62.10%,42.60%,78.10%,74.70%,0,1,6,0
Randolph CC,59.80%,61.90%,33.60%,76.20%,44.30%,86.30%,79.00%,3,2,2,0
Richmond CC,48.40%,52.30%,46.40%,64.90%,48.20%,87.50%,81.30%,1,2,4,0
Roanoke-Chowan CC,38.00%,41.60%,7.90%,66.70%,40.90%,75.00%,71.40%,0,0,6,1
Robeson CC,52.60%,46.60%,40.10%,56.10%,28.90%,74.70%,86.60%,1,1,4,1
Rockingham CC,66.90%,54.90%,29.90%,68.50%,44.90%,70.10%,86.20%,0,4,3,0
Rowan-Cabarrus CC,54.00%,59.70%,24.80%,65.30%,41.60%,73.10%,85.90%,1,1,5,0
Sampson CC,56.60%,48.30%,25.50%,73.20%,46.70%,71.40%,87.90%,1,2,4,0
Sandhills CC,54.80%,56.50%,29.60%,66.70%,42.20%,85.60%,83.20%,1,1,5,0
South Piedmont CC,57.00%,44.30%,30.50%,70.00%,39.40%,79.00%,81.30%,0,0,7,0
Southeastern CC,67.10%,47.70%,28.90%,70.00%,35.40%,79.00%,81.90%,0,1,5,1
Southwestern CC,55.40%,60.30%,40.50%,69.60%,45.50%,85.00%,93.70%,3,2,2,0
Stanly CC,49.30%,44.60%,30.80%,75.10%,43.20%,78.80%,89.70%,2,0,5,0
Surry CC,49.40%,47.00%,20.90%,77.90%,41.20%,93.90%,85.00%,2,1,4,0
Tri-County CC,67.70%,72.40%,25.20%,84.80%,44.70%,63.20%,93.00%,3,2,1,1
Vance-Granville CC,58.70%,48.00%,23.70%,66.60%,43.40%,84.30%,85.90%,0,2,5,0
Wake TCC,66.50%,55.60%,37.10%,67.70%,48.20%,92.40%,85.20%,2,4,1,0
Wayne CC,74.50%,63.00%,30.30%,69.90%,49.40%,88.60%,80.10%,2,2,3,0
Western Piedmont CC,82.90%,65.00%,46.00%,79.20%,42.40%,81.50%,84.10%,4,2,1,0
Wilkes CC,65.00%,52.80%,48.90%,80.90%,51.20%,66.30%,87.50%,2,3,1,1
Wilson CC,51.80%,37.80%,29.80%,53.90%,45.10%,81.80%,85.90%,0,3,3,1
