College Name,English_Students_Age-15,English_SuccessPCT_Age-15,English_Students_Age16-17,English_SuccessPCT_Age16-17,English_Students_Age18,English_SuccessPCT_Age18,English_Students_Age19-24,English_SuccessPCT_Age19-24,English_Students_Age25-39,English_SuccessPCT_Age29-35,English_Students_Age40+,English_SuccessPCT_Age40+
System Totals,"3,648",41%,"9,528",55%,"13,596",64%,"7,610",49%,"2,140",52%,"1,113",44%
Alamance CC,9,89%,201,64%,312,69%,164,53%,37,41%,15,47%
Asheville-Buncombe TCC,187,6%,209,33%,262,60%,175,46%,66,61%,30,33%
Beaufort County CC,48,46%,85,49%,46,61%,28,36%,7,43%,4,*
Bladen CC,7,100%,39,69%,64,52%,39,33%,14,64%,12,58%
Blue Ridge CC,4,*,68,29%,111,63%,69,43%,24,50%,13,46%
Brunswick CC,81,4%,59,66%,128,73%,49,65%,11,55%,9,56%
Caldwell CC & TI,176,9%,261,34%,187,70%,96,56%,23,61%,13,38%
Cape Fear CC,86,51%,333,56%,742,70%,300,57%,62,55%,35,40%
Carteret CC,2,*,112,36%,74,70%,56,70%,9,56%,6,50%
Catawba Valley CC,132,86%,259,66%,379,69%,121,51%,29,72%,10,40%
Central Carolina CC,22,45%,290,41%,259,49%,161,30%,33,45%,21,48%
Central Piedmont CC,76,72%,986,67%,"1,672",70%,889,60%,215,56%,80,46%
Cleveland CC,61,7%,176,32%,78,55%,49,61%,18,28%,15,27%
Coastal Carolina CC,2,*,133,61%,245,75%,265,65%,105,82%,28,79%
College of The Albemarle,24,71%,283,56%,127,55%,64,42%,13,69%,11,55%
Craven CC,90,60%,141,70%,144,67%,141,57%,48,69%,19,53%
Davidson County CC,67,91%,206,51%,249,71%,115,56%,33,67%,21,71%
Durham TCC,22,73%,174,65%,210,59%,164,46%,55,49%,35,43%
Edgecombe CC,14,86%,51,69%,65,69%,43,47%,16,31%,18,61%
Fayetteville TCC,26,42%,445,40%,463,48%,466,41%,213,48%,101,47%
Forsyth TCC,115,28%,161,74%,598,69%,304,54%,90,56%,38,58%
Gaston College,72,25%,258,54%,437,64%,205,41%,62,37%,41,32%
Guilford TCC,21,48%,321,54%,837,56%,458,44%,138,45%,71,42%
Halifax CC,29,86%,46,85%,69,58%,40,60%,15,47%,3,*
Haywood CC,43,51%,45,47%,70,63%,24,33%,19,58%,7,29%
Isothermal CC,54,80%,51,67%,66,73%,45,42%,16,44%,11,36%
James Sprunt CC,55,22%,74,66%,26,42%,25,60%,6,17%,5,20%
Johnston CC,85,18%,406,66%,217,68%,152,43%,21,71%,13,31%
Lenoir CC,85,26%,151,62%,104,59%,56,39%,16,56%,13,62%
Martin CC,71,18%,50,44%,13,54%,13,38%,3,*,*,*
Mayland CC,43,19%,67,33%,17,35%,18,33%,7,14%,8,38%
McDowell TCC,67,88%,57,63%,25,60%,25,40%,6,17%,6,50%
Mitchell CC,100,20%,190,45%,247,66%,114,57%,22,50%,12,25%
Montgomery CC,4,*,32,69%,23,30%,11,45%,5,60%,5,40%
Nash CC,67,13%,134,25%,174,52%,97,34%,30,43%,16,31%
Pamlico CC,1,*,32,47%,7,29%,2,*,5,40%,5,0%
Piedmont CC,3,*,63,79%,39,62%,23,26%,7,43%,3,*
Pitt CC,78,5%,146,56%,513,60%,275,43%,87,43%,43,28%
Randolph CC,97,73%,113,51%,202,72%,117,50%,21,38%,15,67%
Richmond CC,73,33%,153,50%,110,67%,77,52%,30,60%,14,50%
Roanoke-Chowan CC,32,41%,13,54%,26,46%,19,37%,4,*,7,14%
Robeson CC,43,79%,134,49%,155,45%,90,34%,27,37%,10,50%
Rockingham CC,82,65%,66,39%,152,58%,69,48%,16,69%,3,*
Rowan-Cabarrus CC,153,80%,289,48%,417,70%,221,51%,51,39%,43,42%
Sampson CC,43,5%,64,52%,90,64%,57,54%,12,42%,1,*
Sandhills CC,76,51%,85,54%,215,59%,106,57%,25,60%,17,59%
South Piedmont CC,70,29%,233,45%,132,53%,68,40%,13,38%,15,47%
Southeastern CC,37,8%,55,67%,116,59%,57,37%,9,33%,3,*
Southwestern CC,85,48%,145,69%,70,70%,53,47%,19,42%,6,83%
Stanly CC,48,25%,90,42%,81,62%,53,47%,26,50%,14,7%
Surry CC,134,40%,50,54%,94,60%,30,40%,7,14%,6,33%
Tri-County CC,51,61%,112,81%,23,74%,13,62%,5,40%,6,50%
Vance-Granville CC,200,25%,121,59%,151,71%,88,41%,17,65%,19,63%
Wake TCC,16,63%,509,56%,"1,651",63%,832,45%,193,49%,105,29%
Wayne CC,130,74%,179,65%,193,67%,134,49%,33,45%,15,60%
Western Piedmont CC,13,92%,135,70%,189,68%,59,41%,12,50%,9,67%
Wilkes CC,64,11%,139,51%,168,73%,71,45%,13,69%,5,40%
Wilson CC,72,13%,48,35%,62,71%,55,44%,21,19%,4,*
