UnitId,College Name,Associates_Total,Associates_Men_Number,Accosiates_Men_Percent,Associates_Women_Number,Associates_Women_Percent,AwardLess1Year_Total,AwardLess1Year_Men_Number,AwardLess1Year_Men_Percent,AwardLess1Year_Women_Number,AwardLess1Year_Women_Percent,AwardLess2Year_Total,AwardLess2Year_Men_Number,AwardLess2Year_Men_Percent,AwardLess2Year_Women_Number,AwardLess2Year_Women_Percent,Certificate_Total,Certificate_Men_Number,Certificate_Men_Percent,Certificate_Women_Number,Certificate_Women_Percent,Bachelors_Total,Bachelors_Men_Number,Bachelors_Men_Percent,Bachelors_Women_Number,Bachelors_Women_Percent
199786,Alamance Community College,493,162,32.9,331,67.1,386,208,53.9,178,46.1,67,24,35.8,43,64.2,453,232,51.2,221,48.8,,,,,
197869,Appalachian State University,,,,,,,,,,,,,,,,,,,,,3759,1678,44.6,2081,55.4
197887,Asheville-Buncombe Technical Community College,959,386,40.3,573,59.7,399,242,60.7,157,39.3,123,35,28.5,88,71.5,522,277,53.1,245,46.9,,,,,
197966,Beaufort County Community College,284,89,31.3,195,68.7,51,25,49,26,51,33,7,21.2,26,78.8,84,32,38.1,52,61.9,,,,,
198011,Bladen Community College,150,38,25.3,112,74.7,78,33,42.3,45,57.7,48,4,8.3,44,91.7,126,37,29.4,89,70.6,,,,,
198039,Blue Ridge Community College,286,111,38.8,175,61.2,155,96,61.9,59,38.1,27,20,74.1,7,25.9,182,116,63.7,66,36.3,,,,,
198084,Brunswick Community College,294,113,38.4,181,61.6,79,39,49.4,40,50.6,62,10,16.1,52,83.9,141,49,34.8,92,65.2,,,,,
198118,Caldwell Community College and Technical Institute,669,259,38.7,410,61.3,76,32,42.1,44,57.9,41,10,24.4,31,75.6,117,42,35.9,75,64.1,,,,,
198154,Cape Fear Community College,1245,590,47.4,655,52.6,397,279,70.3,118,29.7,196,93,47.4,103,52.6,593,372,62.7,221,37.3,,,,,
433174,Carolinas College of Health Sciences,147,13,8.8,134,91.2,,,,,,27,1,3.7,26,96.3,27,1,3.7,26,96.3,,,,,
198206,Carteret Community College,239,67,28,172,72,173,72,41.6,101,58.4,100,23,23,77,77,273,95,34.8,178,65.2,,,,,
198233,Catawba Valley Community College,658,253,38.4,405,61.6,142,95,66.9,47,33.1,55,19,34.5,36,65.5,197,114,57.9,83,42.1,,,,,
198251,Central Carolina Community College,498,157,31.5,341,68.5,430,291,67.7,139,32.3,126,37,29.4,89,70.6,556,328,59,228,41,,,,,
198260,Central Piedmont Community College,1886,811,43,1075,57,1179,579,49.1,600,50.9,151,43,28.5,108,71.5,1330,622,46.8,708,53.2,,,,,
198321,Cleveland Community College,293,96,32.8,197,67.2,299,174,58.2,125,41.8,117,57,48.7,60,51.3,416,231,55.5,185,44.5,,,,,
198330,Coastal Carolina Community College,643,253,39.3,390,60.7,549,400,72.9,149,27.1,167,86,51.5,81,48.5,716,486,67.9,230,32.1,,,,,
197814,College of the Albemarle,245,76,31,169,69,126,75,59.5,51,40.5,68,15,22.1,53,77.9,194,90,46.4,104,53.6,,,,,
198367,Craven Community College,455,135,29.7,320,70.3,130,69,53.1,61,46.9,59,8,13.6,51,86.4,189,77,40.7,112,59.3,,,,,
198376,Davidson County Community College,502,181,36.1,321,63.9,755,481,63.7,274,36.3,186,57,30.6,129,69.4,941,538,57.2,403,42.8,,,,,
