National Center for Education Statistics,,,,,,,,,
Enrollment by student level Fall 2016,,,,,,,,,
UnitId,Institution name,Student level,Full time Men,Full time Women,Full time Total,Part time Men,Part time Women,Part time Total,Grand total
199786,Alamance Community College,Undergraduate total,678,1059,1737,863,1736,2599,4336
199786,Alamance Community College,-,-,-,-,-,-,-,-
199786,Alamance Community College,All students total,678,1059,1737,863,1736,2599,4336
197869,Appalachian State University,Undergraduate total,7014,8528,15542,432,621,1053,16595
197869,Appalachian State University,Graduate ,348,597,945,194,561,755,1700
197869,Appalachian State University,All students total,7362,9125,16487,626,1182,1808,18295
197887,Asheville-Buncombe Technical Community College,Undergraduate total,1166,1386,2552,1965,2709,4674,7226
197887,Asheville-Buncombe Technical Community College,-,-,-,-,-,-,-,-
197887,Asheville-Buncombe Technical Community College,All students total,1166,1386,2552,1965,2709,4674,7226
197966,Beaufort County Community College,Undergraduate total,163,309,472,340,710,1050,1522
197966,Beaufort County Community College,-,-,-,-,-,-,-,-
197966,Beaufort County Community College,All students total,163,309,472,340,710,1050,1522
198011,Bladen Community College,Undergraduate total,171,366,537,207,504,711,1248
198011,Bladen Community College,-,-,-,-,-,-,-,-
198011,Bladen Community College,All students total,171,366,537,207,504,711,1248
198039,Blue Ridge Community College,Undergraduate total,347,351,698,671,828,1499,2197
198039,Blue Ridge Community College,-,-,-,-,-,-,-,-
198039,Blue Ridge Community College,All students total,347,351,698,671,828,1499,2197
198084,Brunswick Community College,Undergraduate total,254,309,563,277,560,837,1400
198084,Brunswick Community College,-,-,-,-,-,-,-,-
198084,Brunswick Community College,All students total,254,309,563,277,560,837,1400
198118,Caldwell Community College and Technical Institute,Undergraduate total,700,852,1552,785,1032,1817,3369
198118,Caldwell Community College and Technical Institute,-,-,-,-,-,-,-,-
198118,Caldwell Community College and Technical Institute,All students total,700,852,1552,785,1032,1817,3369
198154,Cape Fear Community College,Undergraduate total,1895,2003,3898,2034,2760,4794,8692
198154,Cape Fear Community College,-,-,-,-,-,-,-,-
198154,Cape Fear Community College,All students total,1895,2003,3898,2034,2760,4794,8692
433174,Carolinas College of Health Sciences,Undergraduate total,6,45,51,35,358,393,444
433174,Carolinas College of Health Sciences,-,-,-,-,-,-,-,-
433174,Carolinas College of Health Sciences,All students total,6,45,51,35,358,393,444
198206,Carteret Community College,Undergraduate total,218,414,632,259,609,868,1500
198206,Carteret Community College,-,-,-,-,-,-,-,-
198206,Carteret Community College,All students total,218,414,632,259,609,868,1500
198233,Catawba Valley Community College,Undergraduate total,905,951,1856,1156,1691,2847,4703
198233,Catawba Valley Community College,-,-,-,-,-,-,-,-
198233,Catawba Valley Community College,All students total,905,951,1856,1156,1691,2847,4703
198251,Central Carolina Community College,Undergraduate total,793,1163,1956,1066,2115,3181,5137
198251,Central Carolina Community College,-,-,-,-,-,-,-,-
198251,Central Carolina Community College,All students total,793,1163,1956,1066,2115,3181,5137
198260,Central Piedmont Community College,Undergraduate total,3272,3650,6922,5588,6977,12565,19487
198260,Central Piedmont Community College,-,-,-,-,-,-,-,-
198260,Central Piedmont Community College,All students total,3272,3650,6922,5588,6977,12565,19487
198321,Cleveland Community College,Undergraduate total,458,750,1208,649,975,1624,2832
198321,Cleveland Community College,-,-,-,-,-,-,-,-
198321,Cleveland Community College,All students total,458,750,1208,649,975,1624,2832
198330,Coastal Carolina Community College,Undergraduate total,818,1157,1975,794,1215,2009,3984
198330,Coastal Carolina Community College,-,-,-,-,-,-,-,-
198330,Coastal Carolina Community College,All students total,818,1157,1975,794,1215,2009,3984
197814,College of the Albemarle,Undergraduate total,331,666,997,489,782,1271,2268
197814,College of the Albemarle,-,-,-,-,-,-,-,-
197814,College of the Albemarle,All students total,331,666,997,489,782,1271,2268
198367,Craven Community College,Undergraduate total,508,566,1074,702,1107,1809,2883
