UnitId,College Name,SAT_Verbal_25thPercentile,SAT_Verbal_75thPercentile,SAT_Math_25thPercentile,SAT_Math_75thPercentile,Students_Submitted_SATScores,Students_Submitted_SATScoresPCT
199786,Alamance Community College,-,-,-,-,-,-
197869,Appalachian State University,510,620,520,620,1606,51%
197887,Asheville-Buncombe Technical Community College,-,-,-,-,-,-
197966,Beaufort County Community College,-,-,-,-,-,-
198011,Bladen Community College,-,-,-,-,-,-
198039,Blue Ridge Community College,-,-,-,-,-,-
198084,Brunswick Community College,-,-,-,-,-,-
198118,Caldwell Community College and Technical Institute,-,-,-,-,-,-
198154,Cape Fear Community College,-,-,-,-,-,-
433174,Carolinas College of Health Sciences,-,-,-,-,-,-
198206,Carteret Community College,-,-,-,-,-,-
198233,Catawba Valley Community College,-,-,-,-,-,-
198251,Central Carolina Community College,-,-,-,-,-,-
198260,Central Piedmont Community College,-,-,-,-,-,-
198321,Cleveland Community College,-,-,-,-,-,-
198330,Coastal Carolina Community College,-,-,-,-,-,-
197814,College of the Albemarle,-,-,-,-,-,-
198367,Craven Community College,-,-,-,-,-,-
198376,Davidson County Community College,-,-,-,-,-,-
198455,Durham Technical Community College,-,-,-,-,-,-
198464,East Carolina University,480,560,490,570,2221,51%
198491,Edgecombe Community College,-,-,-,-,-,-
198507,Elizabeth City State University,390,470,400,480,131,65%
198543,Fayetteville State University,390,480,400,470,334,52%
198534,Fayetteville Technical Community College,-,-,-,-,-,-
198552,Forsyth Technical Community College,-,-,-,-,-,-
198570,Gaston College,-,-,-,-,-,-
198622,Guilford Technical Community College,-,-,-,-,-,-
198640,Halifax Community College,-,-,-,-,-,-
198668,Haywood Community College,-,-,-,-,-,-
198710,Isothermal Community College,-,-,-,-,-,-
198729,James Sprunt Community College,-,-,-,-,-,-
198774,Johnston Community College,-,-,-,-,-,-
198817,Lenoir Community College,-,-,-,-,-,-
198905,Martin Community College,-,-,-,-,-,-
198914,Mayland Community College,-,-,-,-,-,-
198923,McDowell Technical Community College,-,-,-,-,-,-
198941,Mercy School of Nursing,-,-,-,-,-,-
198987,Mitchell Community College,-,-,-,-,-,-
199023,Montgomery Community College,-,-,-,-,-,-
199087,Nash Community College,-,-,-,-,-,-
199102,North Carolina A & T State University,420,500,430,510,1369,70%
199157,North Carolina Central University,400,470,410,470,621,54%
199193,North Carolina State University at Raleigh,570,660,600,690,2234,51%
199263,Pamlico Community College,-,-,-,-,-,-
199324,Piedmont Community College,-,-,-,-,-,-
199333,Pitt Community College,-,-,-,-,-,-
199421,Randolph Community College,-,-,-,-,-,-
199449,Richmond Community College,-,-,-,-,-,-
199467,Roanoke-Chowan Community College,-,-,-,-,-,-
199476,Robeson Community College,-,-,-,-,-,-
199485,Rockingham Community College,-,-,-,-,-,-
199494,Rowan-Cabarrus Community College,-,-,-,-,-,-
199625,Sampson Community College,-,-,-,-,-,-
199634,Sandhills Community College,-,-,-,-,-,-
197850,South Piedmont Community College,-,-,-,-,-,-
199722,Southeastern Community College,-,-,-,-,-,-
199731,Southwestern Community College,-,-,-,-,-,-
199740,Stanly Community College,-,-,-,-,-,-
199768,Surry Community College,-,-,-,-,-,-
199795,Tri-County Community College,-,-,-,-,-,-
199111,University of North Carolina at Asheville,530,640,510,610,297,45%
199120,University of North Carolina at Chapel Hill,600,700,610,720,2090,49%
199139,University of North Carolina at Charlotte,510,590,520,610,2298,67%
199148,University of North Carolina at Greensboro,480,570,470,560,1694,59%
199281,University of North Carolina at Pembroke,420,520,420,490,545,50%
199184,University of North Carolina School of the Arts,540,630,490,610,138,65%
199218,University of North Carolina Wilmington,560,630,570,630,765,34%
199838,Vance-Granville Community College,-,-,-,-,-,-
199856,Wake Technical Community College,-,-,-,-,-,-
199892,Wayne Community College,-,-,-,-,-,-
200004,Western Carolina University,450,560,460,560,960,50%
199908,Western Piedmont Community College,-,-,-,-,-,-
199926,Wilkes Community College,-,-,-,-,-,-
199953,Wilson Community College,-,-,-,-,-,-
199999,Winston-Salem State University,400,470,400,470,684,72%
