College Name,Students,Success,Students,Success,Students,Success,Students,Success,Students,Success,Students,Success
System Totals,"3,648",23%,"9,528",44%,"13,596",39%,"7,610",24%,"2,140",21%,"1,113",18%
Alamance CC,9,89%,201,49%,312,46%,164,23%,37,30%,15,20%
Asheville-Buncombe TCC,187,12%,209,30%,262,38%,175,30%,66,26%,30,23%
Beaufort County CC,48,46%,85,53%,46,52%,28,14%,7,43%,4,*
Bladen CC,7,57%,39,49%,64,34%,39,13%,14,14%,12,17%
Blue Ridge CC,4,*,68,26%,111,40%,69,12%,24,21%,13,46%
Brunswick CC,81,37%,59,34%,128,57%,49,45%,11,27%,9,22%
Caldwell CC & TI,176,12%,261,48%,187,43%,96,42%,23,39%,13,15%
Cape Fear CC,86,56%,333,51%,742,41%,300,28%,62,34%,35,20%
Carteret CC,2,*,112,29%,74,45%,56,21%,9,11%,6,17%
Catawba Valley CC,132,7%,259,44%,379,38%,121,19%,29,21%,10,10%
Central Carolina CC,22,50%,290,32%,259,40%,161,30%,33,24%,21,43%
Central Piedmont CC,76,71%,986,47%,1672,44%,889,31%,215,28%,80,20%
Cleveland CC,61,31%,176,60%,78,38%,49,27%,18,11%,15,13%
Coastal Carolina CC,2,*,133,44%,245,48%,265,23%,105,31%,28,32%
College of The Albemarle,24,33%,283,34%,127,34%,64,11%,13,23%,11,18%
Craven CC,90,17%,141,40%,144,41%,141,23%,48,33%,19,26%
Davidson County CC,67,10%,206,62%,249,47%,115,28%,33,15%,21,24%
Durham TCC,22,73%,174,56%,210,33%,164,24%,55,13%,35,20%
Edgecombe CC,14,29%,51,27%,65,28%,43,19%,16,0%,18,28%
Fayetteville TCC,26,31%,445,24%,463,25%,466,17%,213,19%,101,18%
Forsyth TCC,115,51%,161,40%,598,35%,304,21%,90,20%,38,18%
Gaston College,72,4%,258,26%,437,39%,205,21%,62,10%,41,2%
Guilford TCC,21,19%,321,38%,837,29%,458,23%,138,17%,71,17%
Halifax CC,29,34%,46,46%,69,22%,40,10%,15,0%,3,*
Haywood CC,43,2%,45,38%,70,39%,24,17%,19,11%,7,14%
Isothermal CC,54,7%,51,31%,66,27%,45,7%,16,13%,11,0%
James Sprunt CC,55,36%,74,39%,26,23%,25,20%,6,0%,5,0%
Johnston CC,85,25%,406,54%,217,47%,152,29%,21,33%,13,23%
Lenoir CC,85,31%,151,47%,104,25%,56,13%,16,13%,13,23%
Martin CC,71,14%,50,56%,13,46%,13,31%,3,*,,*
Mayland CC,43,21%,67,27%,17,29%,18,17%,7,0%,8,13%
McDowell TCC,67,18%,57,72%,25,40%,25,24%,6,17%,6,0%
Mitchell CC,100,10%,190,38%,247,36%,114,24%,22,14%,12,8%
Montgomery CC,4,*,32,28%,23,9%,11,9%,5,20%,5,0%
Nash CC,67,16%,134,51%,174,48%,97,23%,30,27%,16,13%
Pamlico CC,1,*,32,69%,7,29%,2,*,5,0%,5,0%
Piedmont CC,3,*,63,48%,39,31%,23,17%,7,14%,3,*
Pitt CC,78,63%,146,45%,513,29%,275,15%,87,18%,43,2%
Randolph CC,97,8%,113,37%,202,49%,117,27%,21,19%,15,40%
Richmond CC,73,18%,153,75%,110,45%,77,29%,30,30%,14,29%
Roanoke-Chowan CC,32,0%,13,8%,26,23%,19,5%,4,*,7,0%
Robeson CC,43,79%,134,68%,155,23%,90,19%,27,11%,10,30%
Rockingham CC,82,2%,66,58%,152,33%,69,29%,16,31%,3,*
Rowan-Cabarrus CC,153,19%,289,28%,417,32%,221,16%,51,10%,43,14%
Sampson CC,43,35%,64,20%,90,29%,57,23%,12,8%,1,*
Sandhills CC,76,36%,85,42%,215,28%,106,19%,25,24%,17,35%
South Piedmont CC,70,36%,233,38%,132,27%,68,13%,13,15%,15,13%
Southeastern CC,37,8%,55,51%,116,33%,57,16%,9,22%,3,*
Southwestern CC,85,8%,145,61%,70,54%,53,23%,19,37%,6,17%
Stanly CC,48,2%,90,34%,81,51%,53,32%,26,15%,14,14%
Surry CC,134,0%,50,50%,94,37%,30,20%,7,0%,6,17%
Tri-County CC,51,10%,112,29%,23,39%,13,31%,5,20%,6,17%
Vance-Granville CC,200,13%,121,39%,151,34%,88,14%,17,12%,19,11%
Wake TCC,16,63%,509,39%,1651,43%,832,30%,193,24%,105,12%
Wayne CC,130,8%,179,43%,193,43%,134,22%,33,21%,15,7%
Western Piedmont CC,13,100%,135,70%,189,41%,59,8%,12,0%,9,22%
Wilkes CC,64,50%,139,66%,168,48%,71,28%,13,0%,5,20%
Wilson CC,72,3%,48,50%,62,47%,55,35%,21,14%,4,*
